mol%,BT 549 cells,BT 549 cells,HCC1599 cells,HCC1599 cells,HCC1143 cells,HCC1143 cells,SUM1315 cells,SUM1315 cells,HCC1937 cells,HCC1937 cells,BT 549 CM,BT 549 CM,HCC1599 CM,HCC1599 CM,HCC1143 CM,HCC1143 CM,SUM1315 CM,SUM1315 CM,HCC1937 CM,HCC1937 CM
LPA 16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001367616,0,0.001059625,0
LPA 16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-14:0,0,0,0,0,0,0,0,0,0,0,0,0,0.004034095,0.005548678,0.001518345,0.001917192,0.007885903,0.009880337,0.003877286,0
LPI O-16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:0,0,0,0,0.001227714,0,0,0,0.001144167,0,0,0,0,0,0,0,0,0,0.00102241,0,0
LPI 16:1,0.017179326,0.019534268,0.042629621,0.045348844,0,0,0.015736868,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 16:0,0.020102046,0.02081274,0.029447908,0.030991865,0.028624206,0.027000886,0.004066113,0.006491848,0.010411218,0.004285366,0,0,0.004552579,0,0.018111553,0.022647854,0,0,0,0.002203668
LPI 18:2,0.006269927,0.007703651,0.027834057,0.030162751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 18:1,0.175142837,0.190928438,0.44482822,0.483647737,0.045024094,0.043689854,0.058814124,0.061733305,0.032375793,0.030937554,0.044416068,0.044586815,0.029499892,0.029115357,0.012929411,0.011899945,0,0.045859967,0.003706967,0.003274136
LPI 18:0,0.709198181,0.760742033,0.308450812,0.332473085,0.508567932,0.507247797,0.437060709,0.428764676,0.270409976,0.275362934,0.474555274,0.471601772,0.152093714,0.144575891,0.301494359,0.310886037,0.66216355,0.679644637,0.133785713,0.134246563
LPI 20:4,0.125552521,0.134723365,0.610967656,0.666384116,0.051730979,0.052366993,0.081797217,0.082289425,0.041437473,0.040494786,0,0,0,0,0,0.011748844,0.01612942,0,0,0
LPI 22:6,0.036656296,0.037919738,0.048873846,0.053248195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 22:5,0.024587987,0.026558772,0.031024474,0.033477249,0,0,0.00544166,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 22:4,0.022125047,0.0262305,0.01295382,0.015046751,0,0,0.014308821,0,0,0.005679576,0,0,0,0,0,0,0,0,0,0
LPS O-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS O-16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS O-18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001985549,0,0,0,0,0,0
LPS 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 18:1,0.008879348,0.009835643,0.047140971,0.051302596,0.01767694,0.017912163,0.013527883,0.014701408,0.007636657,0.007904833,0.008348927,0.008163616,0,0.018092319,0.013188538,0,0,0,0,0
LPS 18:0,0.056045827,0.060495364,0.038218182,0.041193973,0.027330895,0.027408424,0.02470521,0.024886274,0.018536909,0.018305354,0.076283921,0.075181904,0.036817523,0.037112029,0.024724069,0.023847754,0,0,0.013927881,0.015514795
LPS 20:4,0,0,0,0.002170733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 28:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 30:0,0,0,0.001327372,0.001473043,0.00939757,0.008239498,0.00974729,0.009749957,0,0,0,0,0,0,0,0,0.003840298,0.002720832,0,0
PA 32:2,0,0,0,0,0,0,0.006714393,0.006707662,0,0,0,0,0,0,0,0,0,0,0,0
PA 32:1,0.006142941,0.00743182,0.004672373,0.004873507,0.024824369,0.025597108,0.037760277,0.037207507,0.009899185,0.010173227,0,0,0.002386812,0.0031073,0.001505342,0.001179574,0.016904899,0.017885198,0,0
PA 32:0,0.004936735,0.004776705,0.004951678,0.005269427,0.02215429,0.02278723,0.037037683,0.035596862,0.00718561,0.007680825,0,0,0,0,0.002595041,0.001558676,0.030071798,0.030340588,0,0
PA 34:2,0.004334946,0.004577053,0.005598588,0.006109751,0.00112864,0,0.030122561,0.029333957,0.010980287,0.010794145,0,0,0.002094685,0.002170073,0,0,0.015754864,0.015694639,0,0
PA 34:1,0.015580053,0.016374759,0.015347069,0.015928489,0.039724497,0.039044723,0.087537877,0.082345888,0.025123006,0.027019506,0.011149129,0.012510036,0.023854193,0.02291435,0.009344604,0.009693437,0.057851857,0.059853381,0.011132677,0.010261751
PA 34:0,0.002793632,0.002806764,0.001850947,0.001714866,0,0,0.009937646,0.009088698,0.002636108,0.004288333,0,0.001098568,0,0,0,0,0.017495973,0.017229411,0,0.001281537
PA 36:4,0,0,0,0,0,0,0.003261949,0.003787264,0.003939489,0.005452751,0,0,0,0,0,0,0,0,0,0
PA 36:3,0,0,0.002125034,0.002416801,0,0,0.007026672,0.006607216,0.005731373,0.008891754,0,0,0,0,0,0,0.001589967,0,0,0
PA 36:2,0.011029304,0.011537843,0.018096609,0.020390266,0.005676886,0.006654761,0.047400769,0.044691471,0.019833819,0.021354678,0.008621849,0.009978852,0.015804005,0.016834131,0.00495298,0.004563097,0.030812569,0.031221266,0.015693405,0.014021153
PA 36:1,0.002650119,0.002769921,0.002161368,0.002082452,0.00482575,0.004997011,0.007253716,0.005976821,0.003340226,0.004391278,0.00619998,0.006091859,0.013206485,0.012965136,0.005932464,0.006374421,0.020932481,0.020392132,0,0.005330094
PA 38:6,0,0,0,0,0,0,0.001123021,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:5,0,0,0,0,0,0,0.00569294,0,0.002662928,0.003527074,0,0,0,0,0,0,0,0,0,0
PA 38:4,0,0,0.001712409,0.001837533,0,0,0,0,0,0.002582849,0,0,0,0,0,0,0,0,0,0
PA 38:3,0,0,0,0,0,0,0.004641838,0.004824756,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001127836,0
PA O-32:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-32:0,0,0,0,0.001133849,0,0,0.006664434,0.006319436,0,0,0,0,0,0,0,0,0.004681096,0.00353233,0,0
PA O-34:2,0,0,0,0,0,0,0.001829275,0.001752113,0,0,0,0,0,0,0,0,0,0,0,0
PA O-34:1,0,0,0,0,0,0,0.009887078,0.00963397,0,0,0,0,0,0,0,0,0.008169415,0.008315872,0,0
PA O-34:0,0,0,0,0,0,0,0.002733691,0.00236316,0,0,0,0,0,0,0,0,0,0.001261535,0,0
PA O-36:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001636213,0,0,0,0
PI O-36:4,0,0,0.011626309,0.010002255,0.01452343,0.017132748,0.010686404,0.008463554,0,0,0,0,0.013188688,0.014741551,0.018011004,0.02187483,0,0.001975566,0,0
PI O-38:6,0,0,0.008964468,0.007685827,0.006918588,0.007050832,0.003501283,0.002641615,0,0,0,0,0.014326063,0.015402068,0.008257192,0.009212649,0.001383162,0,0,0
PI O-38:5,0.00669963,0.006653629,0.016493962,0.014556476,0.044455667,0.045201752,0.090922357,0.073750133,0.007375909,0.007724567,0.005780394,0.008523105,0.029046831,0.030415941,0.062835353,0.069194215,0.143858088,0.137776138,0.006316152,0.003849798
PI O-38:4,0.003495346,0.00297184,0.018192622,0.014647895,0.036177195,0.038138848,0.038954705,0.030214705,0.006855113,0.006841987,0.003743425,0.003642929,0.039541048,0.043765454,0.044017481,0.056277744,0.067459578,0.059024249,0.008303361,0.004051834
PI O-40:6,0,0,0.009598563,0.007818682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-40:5,0,0,0.004818924,0.003599754,0.014131559,0.014115495,0.008412154,0.006279794,0.002276886,0.0029222,0,0,0,0,0.02213866,0.024959289,0.010061824,0,0,0
PI O-40:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 30:1,0,0,0.001563494,0.001514349,0.005141942,0.004372157,0,0,0,0,0,0,0,0,0,0.006619971,0,0,0,0
PI 30:0,0.002316626,0.002391657,0.002326481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 32:1,0.046393155,0.046001212,0.119368872,0.110574212,0.07541215,0.0751036,0.04621952,0.039840634,0.053790272,0.055982158,0.097888791,0.112485667,0.195392477,0.194653522,0.133568686,0.149050184,0.076126391,0,0.061443649,0.051226931
PI 32:0,0.018091761,0.015903714,0,0,0.026350284,0.025989091,0,0,0.020778412,0.021368942,0.042031608,0.052200981,0.053409204,0.05719447,0.041599313,0.046936577,0,0,0.024886816,0
PI 34:2,0.228961962,0.221769458,0.16301126,0.15040432,0.092317808,0.093546795,0.231057743,0.192272981,0.194396994,0.205153021,0.46879804,0.503372236,0.277874394,0.294731324,0.174643239,0.202335819,0.280872203,0.280711821,0.237241132,0.186632737
PI 34:1,0.502372974,0.470735665,0.812639134,0.698829524,0.365814415,0.376046625,0.349170805,0.278873385,0.444956576,0.467093703,1.134996905,1.262765564,1.553829365,1.651409302,0.603597607,0.69166875,0.615472596,0.579400258,0.589509979,0.442846955
PI 36:5,0.028091724,0.028452042,0.013030579,0.012212445,0.036293028,0.037083771,0.019842005,0.016253895,0.024481807,0.024591329,0.072814879,0.074191563,0,0.015531558,0.087768998,0.099278851,0,0,0.016351379,0
PI 36:4,0.107636151,0.106056538,0.191043193,0.173615707,0.489920858,0.496240707,0.185479453,0.15236415,0.195928647,0.205035008,0.252023325,0.286261989,0.292012811,0.310651077,0.802291146,0.907375921,0.294454461,0.28985507,0.238248111,0.186619424
PI 36:3,0.165223441,0.157033358,0.106631274,0.092646005,0.090134001,0.092304113,0.170897999,0.136412562,0.232425927,0.248016443,0.396994491,0.445444568,0.206535137,0.216447653,0.169425493,0.195770334,0.221895331,0.218551086,0.266277525,0.20618337
PI 36:2,1.023117375,0.952885761,0.759906804,0.642463507,0.34921539,0.35909944,0.84529246,0.66334256,0.86186195,0.923459283,2.16052627,2.383197556,1.428046539,1.519261251,0.611594611,0.72166802,1.093239026,1.038383777,1.239116038,0.915315788
PI 36:1,0.378727222,0.327238423,0.566781392,0.440365771,0.134058245,0.136080258,0.272942522,0.200501285,0.31201759,0.340009935,0.885278731,1.019914933,1.449893057,1.573815904,0.271563661,0.327574315,0.534021008,0.497431691,0.521640975,0.362542835
PI 38:6,0.116913414,0.114293096,0.048400533,0.043837024,0.081407596,0.083810744,0.06514504,0.053777309,0.051796783,0.053666066,0.289211689,0.288513393,0,0,0.156852062,0.180434315,0.088222244,0.089383591,0,0.030406841
PI 38:5,0.910923163,0.88402217,0.26963118,0.240162663,0.733360964,0.751318418,1.069507671,0.874204149,0.557858723,0.586423181,2.042386312,2.126115241,0.492240995,0.514860161,1.335802863,1.528097541,1.440950593,1.379458181,0.569493551,0.440839833
PI 38:4,2.591360875,2.403963321,2.245550829,1.863995311,4.775827339,4.875740879,4.84257243,3.778740422,4.158254752,4.403559401,5.916083331,7.039987853,3.666062875,3.923084931,7.474247053,8.876126811,8.074402262,7.513526731,6.10381515,4.535345962
PI 38:3,1.027147166,0.924053815,0.700736688,0.560543599,0.691931542,0.690574849,2.345802364,1.716188357,1.140552362,1.300266489,1.69168906,1.896610601,1.171320726,1.287464624,0.918165243,1.150754315,2.942262349,2.650148495,1.063976074,0.721570925
PI 38:2,0.014991908,0.011688746,0,0,0.094404562,0.099540598,0.049725004,0.033048745,0,0,0.030652618,0.040484795,0,0.029061918,0.149024156,0.174532017,0.090965437,0.092533815,0,0
PI 40:8,0.018933104,0.020909196,0.006038511,0.005968323,0.013423188,0.015161719,0.017726887,0.013809299,0.013496746,0.014889195,0.023415862,0.021953494,0,0,0.00244663,0.007508261,0,0,0,0
PI 40:7,0.123622413,0.12733899,0.023758056,0.021453069,0.081979623,0.090536889,0.087094055,0.068017293,0.060638273,0.067721447,0.214917869,0.212821867,0,0,0.061278609,0,0,0,0,0
PI 40:6,0.386282801,0.360898976,0.11937323,0.099474376,0.297642698,0.304120117,0.268828797,0.21137702,0.17666744,0.190673493,0.751522135,0.783942178,0.207585564,0.219789257,0.484969582,0.569216071,0.332774167,0.318094913,0.149156782,0.108552522
PI 40:5,0.312643851,0.285617202,0.059829906,0.046888155,0.527139178,0.542220509,0.516445445,0.390811698,0.374969685,0.400523837,0.650145948,0.705337701,0.107438541,0.115614843,0.794170207,0.951035073,0.681511776,0.644256403,0.348840936,0.252450169
PI 40:4,0.212616589,0.187071229,0.031282279,0.024304094,0.428469416,0.436093724,0.615434272,0.443122764,0.441993603,0.4799875,0.471623392,0.573544819,0.07269068,0.079739861,0.613183365,0.756204418,0.851727614,0.804796043,0.477944221,0.332108455
PI 40:3,0,0,0.015560802,0.013162148,0.114869076,0.117969769,0.216353096,0.159265392,0,0,0,0,0,0.069995227,0,0,0.347368175,0.336683832,0,0
PI 40:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:7,0.011525417,0.011295474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:6,0.024280587,0.022708032,0,0,0.016840167,0,0,0,0,0,0.048027744,0.04493536,0,0,0,0.029890414,0,0,0,0
PI 42:5,0.004373954,0.003903725,0,0,0.003565947,0,0.00540475,0,0,0.003569059,0,0.009508788,0,0,0.003853308,0,0,0,0,0
PI 42:4,0.001848268,0.001805364,0,0,0,0,0.004744179,0,0,0.003670512,0,0,0,0,0,0,0,0,0,0
PI 42:3,0,0,0,0,0,0,0.001909049,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 28:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002624117,0.002856553,0,0,0,0
PS 32:1,0.011491601,0.011781783,0.00164908,0.001759815,0.008575938,0.008428218,0.00536607,0.005465242,0.002281903,0.002338559,0.01552402,0.016859881,0.002661138,0.002945973,0.02167547,0.021788284,0.019304142,0.018980533,0.007968971,0.007121903
PS 34:3,0.00261752,0.002763039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 34:2,0.021474862,0.023143312,0.006601557,0.006577609,0.009475039,0.009066782,0.013004219,0.01280396,0.010606207,0.011372865,0.035126344,0.036976757,0.011828225,0.012857798,0.01677568,0.016788038,0.026160666,0.027925348,0.020949293,0.019512702
PS 34:1,0.190485872,0.193675995,0.069831711,0.065893556,0.126237914,0.127969035,0.103536059,0.098648541,0.106030206,0.114959716,0.338317539,0.364495447,0.148367383,0.152794935,0.235335146,0.250562969,0.236242268,0.242811223,0.191709715,0.16775142
PS 36:4,0.011973005,0.013383343,0.001302411,0.001530714,0,0.010094395,0.005586233,0,0.005817127,0.006135853,0.014816879,0.014625058,0,0,0.010427733,0.011417381,0,0,0,0
PS 36:3,0.014727952,0.0152682,0.004314202,0.004112082,0.008423862,0.009013393,0.006908063,0.006815645,0.019065177,0.020633102,0.028594755,0.031599211,0.009422407,0.009844611,0.016150302,0.017205145,0.014598781,0.015374053,0.02885622,0.025957718
PS 36:2,0.159746662,0.162680754,0.109029644,0.103684688,0.117133729,0.117818632,0.153729249,0.145198829,0.254039587,0.280082113,0.285991624,0.333030764,0.216263819,0.220597741,0.180418136,0.19592082,0.224339316,0.233956739,0.391189124,0.341352668
PS 36:1,0.550104511,0.534181543,1.043408959,0.923068978,0.92773443,0.940058416,1.028498855,0.938478527,0.708797531,0.788713555,1.199063298,1.371842642,2.033062077,2.124327457,1.328109283,1.456128069,1.621507732,1.629339678,1.117986269,0.933490827
PS 38:6,0.006184577,0.006671896,0,0,0,0,0,0,0,0,0,0,0,0,0.005593043,0,0,0,0,0
PS 38:5,0.027046638,0.029847618,0,0,0.005682719,0.007113328,0,0,0.008082537,0.009775155,0.07144222,0.068689262,0,0,0.023363245,0.02312617,0.009018886,0.010219448,0.005720947,0.006501224
PS 38:4,0.100978767,0.104339893,0.028450783,0.027347239,0.106028929,0.112415441,0.052835709,0.045977657,0.072842848,0.08155196,0.26578886,0.276961698,0.082724774,0.082388621,0.179999061,0.196600552,0.073840654,0.075520926,0.099752283,0.086893246
PS 38:3,0.069175703,0.068403229,0.037926909,0.034839133,0.099080412,0.097683011,0.036404923,0.034796398,0.085328146,0.094232563,0.155823469,0.170503444,0.064006618,0.068197351,0.13710339,0.15054383,0.060775328,0.06352048,0.107481023,0.092211367
PS 38:2,0.015684852,0.015038195,0.045495525,0.039200468,0.038353927,0.040108439,0.094636293,0.085096189,0.009137601,0.010149631,0.023552191,0.027040727,0.077540365,0.083212364,0.055369625,0.064026125,0.121520466,0.123072531,0.018389636,0.015271516
PS 38:1,0.018942547,0.018024004,0.046724278,0.038084849,0.038357085,0.039054469,0.02990983,0.025140809,0.022539293,0.025536627,0.033343542,0.04014423,0.085939346,0.08971632,0.051221412,0.05817182,0.05181401,0.050976798,0.036273021,0.028920082
PS 40:7,0.008407313,0.009663748,0.001160587,0.001218247,0,0.006693967,0,0,0,0.002050298,0.011243225,0.010874886,0,0,0.008621681,0.008750654,0,0,0,0
PS 40:6,0.027486125,0.028291868,0.010566985,0.011256099,0.084433785,0.084247084,0.001403765,0,0.027985598,0.038569032,0.078335761,0.083683965,0.03426144,0.033744796,0.127947092,0.138405222,0,0,0.032325336,0.030806746
PS 40:5,0.004552618,0.003082152,0,0,0.030635426,0.028352119,0.0039881,0.005508969,0.038393744,0.055438718,0.004747331,0,0,0,0.058242566,0.056681937,0.003853864,0.003769303,0.029208918,0.025367309
PS 40:4,0.061281965,0.060110791,0.010747662,0.009909668,0.151790349,0.155805983,0.041405326,0.036856334,0.123621616,0.142191018,0.141705789,0.16203341,0.020647025,0.021955832,0.211266236,0.234825807,0.056228836,0.05725219,0.134345685,0.111102444
PS 40:2,0.009757034,0.009404062,0.022842885,0.018715273,0.039905089,0.040659726,0.088653735,0.076772417,0.017432703,0.01908664,0.015905674,0.020582541,0.038102913,0.040071509,0.053667703,0.061149317,0.112682959,0.112993465,0.025622244,0.020397384
PS 40:1,0.015213758,0.015031994,0.05912587,0.045329735,0.02328804,0.02291584,0.020190361,0.016544342,0.018677122,0.021119231,0.016345611,0.020077979,0.095698902,0.104365268,0.028111013,0.034658845,0.039152713,0.038076564,0.031395464,0.022490582
PS 42:3,0.002359452,0.002425787,0.002773109,0.002662716,0.006752191,0.006674639,0.012989567,0.012936281,0.003379134,0.004176847,0,0.001960418,0,0,0.008700335,0.009956388,0.016901134,0.017607956,0.003555925,0.002705686
PS 42:2,0.005200618,0.004548088,0.015867182,0.012098643,0.022539673,0.022899226,0.071843294,0.05968713,0.011367589,0.012672506,0.007386484,0.009929677,0.023567138,0.025558699,0.028994993,0.033860333,0.093806061,0.093627066,0.015109633,0.010655748
PS 42:1,0.005249265,0.004546083,0.071987259,0.049776177,0.017216745,0.017982873,0.027643447,0.019536236,0.015141034,0.017663591,0.008989161,0.012242343,0.107633794,0.118118958,0.020533132,0.024759219,0.050287531,0.048140064,0.022118657,0.015510499
PS 44:5,0,0,0,0,0,0,0,0,0,0.001917205,0,0,0,0,0,0,0,0,0,0
PS 44:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 44:2,0,0,0.001211414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 34:1;2,0.034730162,0.031487507,0.015576133,0.016766079,0.017810111,0.020125572,0.033758985,0.032876611,0.032063844,0.029907047,0.041896516,0.049911238,0.037096252,0.019306014,0.034587516,0.04587812,0.073052587,0.060730607,0.039889622,0.033817621
diHexCer 36:2;2,0.006567445,0.007878539,0,0.005736358,0,0,0,0,0.002008986,0.002240429,0,0,0,0,0.00245621,0,0,0,0,0
diHexCer 38:1;2,0,0,0.001278691,0.001401145,0,0,0,0,0,0,0,0,0,0,0,0.002553627,0,0,0,0
diHexCer 40:2;2,0,0,0.001248026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 40:1;2,0.001602262,0.003256887,0.008097858,0.0088758,0,0,0.002617111,0.003099144,0,0.001815017,0,0,0.001170573,0,0.001286233,0,0,0,0,0
diHexCer 42:2;2,0.013482857,0.016430631,0.008498244,0.009033313,0.011698917,0.009418859,0.065852273,0.07470467,0.00904847,0.008097922,0.014101903,0.006238737,0.003068152,0.001742891,0.009576142,0.005932295,0.078329915,0.042327156,0,0.003657006
diHexCer 42:1;2,0.013041707,0.012737093,0.029260617,0.036157921,0,0.002850164,0.034233913,0.034352671,0.008768838,0.008196268,0.002502639,0,0.025059816,0.023252509,0.004103328,0.001333452,0.013130902,0.009975125,0.001447446,0
triHexCer 32:1;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 34:1;2,0.103736057,0.123549683,0,0.003429443,0.160468791,0.155747206,0,0,0.082180901,0.087097666,0.063767485,0.039772779,0,0.008368169,0.075102728,0.083977614,0,0,0.056431083,0.075868196
triHexCer 36:2;2,0,0,0,0,0,0,0,0,0,0.001597684,0,0,0,0,0,0,0,0,0,0
triHexCer 36:1;2,0.004608193,0.012969587,0,0,0.031217132,0,0,0,0.002673265,0.008767714,0.002915512,0,0,0,0.014192843,0,0,0,0,0
triHexCer 38:1;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 40:1;2,0.044140816,0.07026127,0,0,0.042348373,0.050212456,0,0,0.005499359,0.006160328,0.032986519,0.026255491,0,0,0.025702633,0.005586108,0.004541517,0,0,0
triHexCer 42:2;2,0.200039257,0.264249089,0.021626783,0,0.214447451,0.194273826,0.106812629,0.116806742,0.100862179,0.095341382,0.311856156,0.292917737,0,0,0.214228482,0.24369026,0,0,0,0.031762518
triHexCer 42:1;2,0.110067751,0.129386135,0.004012673,0,0.062354338,0.061130584,0,0,0.017391138,0.026708162,0.13183738,0.124471906,0,0,0,0.02150728,0,0,0.028555405,0.00964638
triHexCer 42:0;2,0.284080794,0.372131575,0.191981143,0.192707345,0,0.721517994,0.519620674,0,0.397253226,0.386703371,1.276103687,1.366736095,0,0,0,0,0,0,0,0
LPC O-16:1,0,0.001478019,0.006023724,0.011236439,0.030207536,0.006746176,0.002017693,0.002749116,0.011781794,0.01149434,0,0,0.012508197,0.004506718,0.006707652,0.009833738,0.02411774,0.017414763,0.001227545,0.001046794
LPC O-16:0,0,0,0.00319519,0.007517465,0,0,0.01806749,0.014275786,0.001925533,0.0024284,0,0,0.002632642,0.00267365,0,0,0.082459359,0.090146592,0,0
LPC O-18:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-18:2,0,0,0.004383497,0.010242339,0,0,0,0,0.001648739,0,0,0,0,0,0,0,0,0,0,0.00122811
LPC O-18:1,0,0,0.003243041,0.005984031,0.005787735,0.001288329,0.009880687,0.005688224,0.005542545,0.003212316,0,0,0,0.002084943,0,0,0.069520828,0.052409086,0,0
LPC O-18:0,0,0,0,0,0,0,0,0,0.002318059,0.001226775,0,0,0,0,0,0,0.002435292,0.006155014,0,0
LPC O-20:4,0,0,0.001013385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-20:3,0,0,0,0,0,0,0,0,0,0,0,0.001465823,0,0.001051628,0,0,0.003776951,0.02175229,0.002549483,0
LPC O-20:1,0,0,0,0,0.021584857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-22:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC 14:0,0,0,0.002701408,0.002160931,0.032962873,0.051266713,0.001460595,0.001147637,0,0,0,0,0.013773761,0.06042731,0.057038557,0.051741096,0.019113505,0.021812216,0,0
LPC 16:1,0.021777112,0.029895005,0.031999088,0.044834824,0.066844886,0.091662615,0.049395291,0.048987971,0.023632139,0.023869239,0.018843304,0.015007794,0.110243037,0.091149067,0.067896853,0.063086356,0.006415291,0.003498565,0.021023123,0.020588007
LPC 16:0,0.091129563,0.101625085,0.073539026,0.086653879,0.370695262,0.371713222,0.121655875,0.135164537,0.097584579,0.097077865,0.129777973,0.121538388,0.214419792,0.19329054,0.194125146,0.187887818,0.521492956,0.530382281,0.116933923,0.132818581
LPC 18:2,0.002433943,0.002471722,0.001298678,0.003001474,0,0.002723052,0,0,0.033617916,0.029416354,0.001478058,0.002162075,0.00366446,0.002730689,0.001389339,0.002872284,0,0,0.018645976,0.020688897
LPC 18:1,0.125637713,0.146960947,0.164994793,0.199118283,0.1701613,0.170213347,0.189713405,0.208297006,0.112402598,0.10634188,0.181918828,0.162669668,0.408820795,0.35289177,0.112308387,0.111188592,0.198174906,0.09598463,0.086508164,0.096724221
LPC 18:0,0.007865159,0.015726525,0.0028059,0.007139178,0.033613293,0.049687682,0.001397432,0,0.027740017,0.025790659,0.006755864,0.005394322,0.023467642,0.019585551,0.014880581,0.01874244,0.01636079,0.008117585,0.015323572,0.01818677
LPC 20:4,0.00814144,0.011470136,0.002953738,0.007863654,0.019494194,0.037702598,0.09327831,0.093639049,0.054851048,0.052340177,0.052520953,0.044294399,0.138575466,0.122316632,0.097622218,0.093697451,0.277163171,0.279665989,0.06384703,0.072172705
LPC 20:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC 20:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001775261
LPC 22:6,0.01988409,0,0.003945257,0.014810928,0,0,0,0,0.042297802,0.042925993,0,0,0,0.168861137,0,0,0,0,0,0
LPC 22:5,0.018050873,0.013993978,0,0,0,0,0.038318034,0.038965027,0.021769329,0.023544028,0,0,0.046060273,0,0,0,0,0,0.022744561,0
LPC 22:4,0,0,0,0,0,0,0,0.002925239,0.002518624,0.002444707,0,0,0,0,0.002982377,0,0,0,0,0.002907107
LPE O-14:0,0,0,0.021618293,0,0.004840402,0,0,0,0,0,0,0,0,0,0,0,0.002686881,0,0,0
