mol%,BT 549 cells,BT 549 cells,HCC1599 cells,HCC1599 cells,HCC1143 cells,HCC1143 cells,SUM1315 cells,SUM1315 cells,HCC1937 cells,HCC1937 cells,BT 549 CM,BT 549 CM,HCC1599 CM,HCC1599 CM,HCC1143 CM,HCC1143 CM,SUM1315 CM,SUM1315 CM,HCC1937 CM,HCC1937 CM
LPE O-16:1,0.020573859,0.027221633,0.18551017,0.193120714,0.203375332,0.180206706,0.035945091,0.032480037,0.035110924,0.036020372,0,0.006523215,0.075832152,0.092491752,0.062496052,0.060158823,0.051346816,0.062756886,0.013412762,0.009602197
LPE O-18:2,0.009891053,0.013549659,0.038806122,0.042106921,0.06163124,0.068622052,0.010233661,0.009905047,0.020193405,0.016688229,0.002000467,0.001489681,0.00104032,0,0.015619571,0.020918165,0.003052252,0.002150957,0,0
LPE O-18:1,0.029766888,0.038453624,0.136795197,0.138186759,0.089568215,0.088595616,0.014682094,0.016039666,0.044818348,0.042168001,0.015565799,0.017576483,0.037667348,0.037301912,0.020654669,0.024368409,0.013522469,0.019198818,0.005765304,0.007475986
LPE O-18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-20:4,0,0,0.001080462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-22:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 16:1,0.018877474,0.02332933,0.040121436,0.044101185,0.11816764,0.072687,0.033920624,0.037274269,0.019748161,0.017696722,0.017438759,0.021265563,0.09586854,0.099518746,0.045762247,0.042218362,0.073937943,0.068951349,0.009257758,0.008407339
LPE 16:0,0.043896099,0.052264439,0.03087427,0.02827156,0.160287752,0.137611259,0.044167504,0.044098119,0.050875344,0.049203008,0.070386717,0.074753977,0.038813449,0.049017467,0.070100703,0.069252162,0.099648809,0.104785311,0.11863066,0.138470867
LPE 18:2,0.025019991,0.029928082,0.018123632,0.023473846,0.028762124,0.03853482,0.003055175,0.005185678,0.063133931,0.061061268,0.052209947,0.051530297,0.035486045,0.041033767,0.027226262,0.027529798,0.004920327,0.009733916,0.039166689,0.044642664
LPE 18:1,0.24339874,0.294070194,0.37375425,0.396786618,0.524822722,0.520143217,0.33392382,0.377393352,0.214168765,0.212406876,0.406239967,0.428342156,0.856344181,0.86105255,0.31016049,0.306291404,0.727796241,0.775957609,0.169104561,0.190992671
LPE 18:0,0.082380605,0.099917995,0.107548148,0.107676644,0.122988275,0.119696421,0.011177214,0.00814043,0.064269904,0.062485087,0.06059524,0.062024494,0.044931673,0.047589242,0.03367753,0.036800851,0,0,0.029914333,0.03120239
LPE 20:4,0.442357627,0.498926164,0.264573033,0.298578484,2.44153416,2.429695707,0.865095221,0.965010703,1.241022955,1.240621532,1.187786546,1.168454138,1.18298846,1.165069133,1.556592256,1.562374228,1.508696792,1.551730127,0.817857773,0.902776476
LPE 22:6,0.103395349,0.119877777,0.171241103,0.187141224,0.586166832,0.577830926,0.320287678,0.351331696,0.205358361,0.203443199,0.284575728,0.26405593,0.827618723,0.810793758,0.403615755,0.403967643,0.560865796,0.566266275,0.1453172,0.16207041
LPE 22:5,0.060415584,0.070145981,0.053508785,0.05972165,0.609982876,0.601224159,0.192602303,0.21304707,0.25880482,0.255940063,0.179614266,0.169264556,0.345495867,0.339140704,0.380625117,0.38571714,0.363816615,0.372979584,0.17285055,0.198260854
LPE 22:4,0.055134784,0.066959196,0.007625792,0.013196585,0.377404356,0.373037125,0.161874657,0.182367639,0.238980654,0.240814475,0.165586438,0.154510718,0.111115263,0.105901548,0.245391113,0.250561279,0.276255023,0.292871652,0.17491772,0.206572982
LPG 14:0,0,0,0,0,0.00398773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 16:1,0,0,0.001571211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 16:0,0,0,0,0,0.003291512,0,0,0,0,0,0,0,0,0.003008599,0,0,0,0,0.001535333,0
LPG 18:2,0,0,0,0,0,0,0.003726455,0.002547598,0,0,0,0,0.002242789,0.003908713,0.001085869,0,0.025554117,0.027409762,0.002113912,0
LPG 18:1,0.007724214,0.00881468,0.013677687,0.0185051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 18:0,0,0,0,0,0.001229005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 22:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:1,0,0,0.011739327,0.012503318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:0,0.009432102,0.016065231,0.044005562,0.039978927,0,0.003010304,0.00237162,0.001692497,0.001662925,0,0,0,0.003621423,0.006122708,0.072443824,0.093114977,0,0,0,0
PG 34:3,0,0,0.009017423,0.008814272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:2,0.005191986,0.007940655,0.055202512,0.056386777,0,0.002925855,0.012333163,0.010823261,0.008771471,0.008117243,0,0,0.007170935,0.0100002,0.003569256,0.004889315,0,0,0.008551762,0.014185096
PG 34:1,0.037730377,0.055950769,0.444089062,0.410242003,0.07381426,0.078549141,0.073868595,0.086448157,0.079247726,0.069689248,0.058757414,0.058506457,0.476749036,0.582817578,0.286644176,0.333197695,0.208503026,0.15229473,0.138711705,0.204215518
PG 34:0,0.040271923,0.065548982,0,0,0.06947322,0.082015727,0.061914619,0.072524459,0.077118304,0.06342162,0.114698344,0.098746094,0.259617075,0.320303875,0.496602768,0.594155658,0.316051858,0.193617294,0.096839778,0.187466868
PG 36:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 36:4,0,0,0.006359462,0.00791507,0,0,0,0,0.010718997,0.00944308,0,0,0,0,0,0,0,0,0.013968162,0.021422946
PG 36:3,0.004387167,0.007441135,0.037683955,0.038518407,0.004200273,0.006461005,0.0059017,0.005417314,0.01235206,0.011823359,0,0,0,0,0.012406209,0.007867601,0,0,0.02489963,0.034407291
PG 36:2,0.028043268,0.038640031,0.328012717,0.317144241,0.026497859,0.02481693,0.102412503,0.111797695,0.032337933,0.027533315,0.031276928,0.03653237,0.141153322,0.169042218,0.100332669,0.116628936,0.161228104,0.135509443,0.052822873,0.081324767
PG 36:1,0.023152135,0.038370767,0.224458232,0.202627088,0.029517998,0.030614536,0.047106236,0.055436193,0.042861219,0.036263426,0.02663937,0.034431833,0.257590297,0.331066109,0.130967413,0.163179899,0.154968407,0.089794048,0.065602887,0.119093101
PG 38:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 38:7,0.005601102,0.00782894,0.025227755,0.017925887,0,0,0,0,0.002973618,0.002243429,0,0,0,0,0,0,0,0,0,0
PG 38:6,0.012697695,0.015014586,0.027237847,0.026802968,0.005370736,0.004937856,0.004083645,0.006329432,0.006692844,0.006158454,0,0,0,0,0,0,0,0,0,0
PG 38:5,0.006620478,0.009910407,0.023211799,0.022722375,0,0,0.006233596,0.004460873,0.009480449,0.008853716,0,0,0,0,0,0,0,0,0,0.001426534
PG 38:4,0.001178629,0.003960744,0.032399094,0.035281282,0.003241288,0.001842703,0.00442503,0.006852823,0.003028877,0.001888324,0,0,0,0,0,0,0,0,0,0
PG 38:3,0,0,0.014718859,0.013398099,0,0,0.004478281,0.00415494,0,0,0,0,0,0,0,0,0,0,0,0
PG 40:7,0.099461407,0.127936732,0.278927272,0.268999302,0.039778795,0.037966525,0.091679256,0.100759182,0.041244367,0.038978065,0.115376208,0.123455455,0,0,0.073575197,0,0,0.214622397,0.040759416,0.048032681
PG 40:6,0.018410723,0.025510822,0.056327643,0.05444507,0.012208129,0.009677181,0.027290083,0.030121689,0.015048147,0.012987658,0,0,0,0,0,0,0,0,0.001382641,0.005750702
PG 40:5,0,0,0,0,0,0,0,0.001247911,0,0,0,0,0,0,0,0,0,0,0,0
PG 40:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 40:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:9,0.015034161,0.018946331,0.020705921,0.01991092,0.013462247,0.010861645,0.002306174,0,0.011665711,0.010992964,0.004598593,0,0,0,0,0,0,0,0,0
PG 42:8,0.005692144,0.007897362,0.008069938,0.008293224,0,0.001708243,0,0,0.004970705,0.004621656,0,0,0,0,0,0,0,0,0,0
PG 42:7,0,0,0,0.003078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 44:10,0.006094843,0.002727992,0.001071221,0.001267442,0.001089126,0.001238969,0.0018995,0.002146287,0.007329142,0.007076537,0,0,0,0,0,0,0,0,0.001468443,0
PG 44:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chol :,18.57278877,20.74511967,22.29665773,18.49254198,19.18673372,16.2834125,15.53672993,16.9515449,17.71358562,18.69773338,23.82378761,22.67985409,21.8338906,22.41959332,25.72270313,24.42439197,20.17390041,19.81947665,36.44468454,37.0343356
Cer 32:2;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cer 32:1;2,0.011120745,0.010519628,0.003287299,0.003543508,0.016841319,0.018661626,0.011009798,0.01143658,0.008543166,0.008316076,0.018020338,0.018169288,0.013614037,0.013629695,0.043680434,0.0438372,0.018961695,0.019587837,0.018521155,0.018906039
Cer 34:2;2,0.011271211,0.011676069,0.003972914,0.003755838,0.007119072,0.00966663,0.008575356,0.011025333,0.009771442,0.009321887,0.018489343,0.017918498,0.008525187,0.011551517,0.029718977,0.02870885,0.020891897,0.020976019,0.021875475,0.023548221
Cer 34:1;2,0.20766935,0.232584344,0.077576775,0.081840417,0.129381848,0.130236504,0.133822295,0.139865998,0.104250526,0.102395792,0.294226567,0.293791887,0.31044957,0.297962971,0.505367952,0.486224748,0.271952407,0.278251258,0.378246196,0.3938469
Cer 36:2;2,0.008033833,0.009084451,0.005098693,0.005596967,0.002895198,0.002265958,0,0,0.004645231,0.004639478,0.014303533,0.01401813,0.015387057,0.016861136,0.022259907,0.022549282,0.004671835,0.004030509,0.013326971,0.013410192
Cer 36:1;2,0.050398442,0.052011131,0.031027119,0.032636306,0.031864353,0.033163032,0.014852393,0.015177985,0.017817636,0.017528317,0.070062275,0.069726882,0.147748923,0.140711107,0.098023294,0.095458805,0.033517897,0.034323503,0.053484729,0.05596666
Cer 38:1;2,0.013091246,0.015110453,0.003746998,0.003963199,0.008060544,0.007114542,0.002825792,0.004373842,0.006813712,0.007088595,0.023879689,0.021076276,0.028710194,0.028870834,0.02856207,0.0271715,0.008020288,0.0070078,0.025378601,0.026189226
Cer 38:0;2,0,0,0,0,0,0,0,0.002146428,0,0,0,0,0,0,0,0,0.003404596,0.002775704,0,0
Cer 40:2;2,0.027892358,0.032354434,0.002552401,0.002651908,0.016407031,0.021791315,0.013828748,0.017558883,0.008842942,0.009021365,0.046868004,0.0459694,0.031377338,0.03018055,0.058498778,0.055069406,0.039569642,0.039309133,0.027451682,0.02748851
Cer 40:1;2,0.089102547,0.100688595,0.023918428,0.023297453,0.039506245,0.033593587,0.027774525,0.03073566,0.024222303,0.023838449,0.117219135,0.118709953,0.096745211,0.096756534,0.102356133,0.098417715,0.051280788,0.05450931,0.056032388,0.05892954
Cer 42:2;2,0.286752187,0.321218975,0.059320834,0.06043906,0.158970591,0.153932915,0.354706008,0.362053678,0.076551451,0.074149801,0.350415663,0.351336263,0.166539616,0.163751234,0.476802535,0.458032097,0.466519058,0.482645157,0.161686258,0.164092193
Cer 42:1;2,0.231425949,0.26586259,0.137091144,0.146072975,0.149503631,0.16284189,0.186230347,0.199789061,0.113289389,0.108843158,0.327632272,0.319861506,0.367870755,0.370612463,0.241251492,0.230438771,0.279162305,0.279250879,0.176170172,0.168556176
Cer 44:2;2,0.010947594,0.016152757,0.001374383,0.001284153,0,0,0,0,0,0,0,0,0,0,0.025523838,0.02712508,0,0,0,0
Cer 44:1;2,0.008137262,0.008086873,0.003610925,0.003928554,0,0,0,0,0.002316424,0.00310948,0,0,0,0,0.009220286,0.009176021,0,0,0,0
CE 14:0,0.088696245,0.096864993,0.058139871,0.066833185,0.024329868,0.036280278,0.003235798,0,0.009381076,0.008384916,0.099728964,0.094908492,0.060206011,0.060239687,0.0086297,0.00734554,0,0.001076125,0.010581392,0.002984819
CE 16:1,0.682627595,0.5969494,0.107317746,0.113229706,0.293374829,0.314508438,0.097547157,0.08980469,0.094146577,0.089072502,0.649204525,0.658544519,0.254320385,0.27839221,0.11806955,0.109729669,0.306736746,0.268577741,0.120930835,0.12784837
CE 16:0,0.951581841,1.005123672,0.240907487,0.249622493,0.073500402,0.117975923,0.01846215,0.005786615,0.0581708,0.057931076,0.86374115,0.866113049,0.295165615,0.295882796,0.047268627,0.048506122,0.028123394,0.027909979,0.068846694,0.072091195
CE 18:2,0.436330543,0.39559758,0.068602902,0.065564622,0,0.001040829,0,0.002855256,0.066720343,0.066589662,0.357146516,0.345023901,0.112851385,0.109735639,0.017978014,0.017691493,0.012960769,0.016875612,0.080964671,0.085866159
CE 18:1,2.142725049,1.975379473,1.305629189,1.236946192,0.035794117,0.060782974,0.044407963,0.047367315,0.285595722,0.287815245,1.810611156,1.801081021,0.987388652,0.94650479,0.103732357,0.101645719,0.118811368,0.119265034,0.352527483,0.366547214
CE 18:0,0.16141401,0,0.226409972,0.227062663,0.013706115,0.009881582,0,0,0.036220708,0.036212995,0,0,0.151105768,0.151225663,0,0,0,0,0,0
CE 20:5,0.100713478,0.079685833,0.010254629,0.009331047,0.001051687,0,0,0,0.037564111,0.036285671,0.091604891,0.095373824,0.026490236,0.022952844,0,0.001265804,0,0,0.051376559,0.056265923
CE 20:4,0.281411982,0.243269096,0.047555938,0.045108943,0,0,0.001070657,0.001257961,0.111335241,0.108749059,0.254449436,0.257205126,0.098968928,0.09511438,0.022901686,0.020177987,0.013296696,0.015870704,0.143626315,0.155299188
CE 20:3,0.060863285,0.056444748,0.093279017,0.083412292,0,0,0.001347215,0.002420003,0.104760029,0.106598574,0.062236143,0.060723167,0.052562526,0.056328514,0.011879033,0.010471372,0.00399859,0.004765497,0.114253485,0.118380768
CE 22:6,0.568250052,0.446022121,0.106357487,0.101529571,0.004219771,0.002313465,0.003914978,0.004766616,0.181583806,0.174483764,0.45942487,0.46486762,0.078574455,0.072898288,0.030071763,0.030467955,0.016077411,0.011610949,0.19671487,0.209776488
CE 22:5,0.015085929,0.016255525,0.041329652,0.033688052,0.001240591,0.001525556,0,0,0.084270466,0.086094718,0.042100614,0.044027759,0.027868553,0.023794915,0.008167161,0.007744804,0,0,0.110477295,0.119218792
CE 22:4,0.029784695,0.035587408,0,0,0,0,0,0,0.084382381,0.081961745,0.03811073,0.034221998,0,0,0,0,0,0,0.108462497,0.112683116
DAG 28:1,0,0,0.003017861,0.003401671,0,0.005063765,0,0.002473778,0,0,0,0,0,0,0,0,0,0,0,0
DAG 28:0,0.00558322,0.004484708,0.011567884,0.012240898,0.02532739,0.026338028,0.008322873,0.009994042,0.005843954,0.005636887,0.00408543,0.005047001,0.003288294,0.00451166,0.009393947,0.00628056,0.006450577,0.006529272,0,0
DAG 30:2,0.001685124,0,0.002290009,0.002183248,0,0,0.002060613,0.002110634,0,0,0,0,0,0,0,0,0,0,0,0
DAG 30:1,0.008419999,0.00634242,0.025667529,0.027669895,0.028647305,0.0233506,0.014713915,0.014608935,0.005938745,0.005506314,0.005338432,0.006499084,0.008990735,0.009590579,0.011766644,0.012035427,0.008839518,0.007655772,0,0
DAG 30:0,0.020403126,0.017565555,0.060557165,0.064824872,0.076083889,0.081920161,0.034897689,0.03488392,0.01422607,0.013815498,0.015343819,0.015484393,0.018822427,0.017639168,0.034155189,0.033759357,0.025669977,0.027335814,0.002426453,0.002610906
DAG 32:3,0.001560305,0,0,0.001088102,0,0,0.001249945,0.001407739,0,0,0,0,0,0,0,0,0,0.001029514,0,0
DAG 32:2,0.00739305,0.008338803,0.020368711,0.021162996,0.017099946,0.008740918,0.018258149,0.02118536,0.006504106,0.006450334,0.006416753,0.007403856,0.007939639,0.008411333,0.006009648,0.004496435,0.004142296,0.006720998,0.002634758,0.002662862
DAG 32:1,0.049647711,0.05110942,0.196962591,0.215880558,0.130488352,0.11421206,0.099677855,0.101435709,0.041928478,0.040711061,0.031218764,0.032956058,0.065500604,0.065375487,0.0710593,0.068779089,0.05492354,0.056714915,0.008030477,0.008842265
DAG 32:0,0.062869645,0.066083964,0.148127187,0.159810835,0.127203114,0.125490905,0.077951105,0.076117768,0.048554648,0.047468702,0.03664961,0.039641186,0.042158776,0.04164908,0.044841054,0.044662766,0.056064192,0.060127443,0.006240607,0.006642632
DAG 34:3,0.008505547,0.010164371,0.017272265,0.018592203,0.006220537,0.003941846,0.015836626,0.018028155,0.014422837,0.013912111,0.005610441,0.003304971,0.004352453,0.004762062,0.00584755,0.005011307,0.004110645,0.006100926,0.003068176,0.003502135
DAG 34:2,0.061294811,0.062268462,0.20786129,0.22512055,0.073296193,0.055836318,0.123707131,0.12358073,0.07156075,0.069738841,0.040975533,0.04123255,0.074683528,0.071090835,0.044084994,0.042519539,0.047821042,0.051407938,0.02053538,0.020622018
DAG 34:1,0.263679588,0.275595634,0.99963439,1.074885956,0.407663507,0.317600384,0.362918077,0.362373009,0.197365963,0.192753557,0.161074544,0.158383026,0.348492487,0.342124982,0.234173223,0.225598871,0.228158596,0.24015599,0.054354662,0.05814579
DAG 34:0,0.056667036,0.060566347,0.107727989,0.115246232,0.05925255,0.054866547,0,0,0.038832397,0.038098071,0.031306046,0.034357539,0.031697489,0,0,0,0.019809828,0.02348114,0.00686639,0.005068779
DAG 36:5,0.003078211,0.003764703,0.003751264,0.003543068,0,0.00338409,0.005094926,0.004818005,0.004739375,0.004574658,0.00243455,0,0.00146722,0.001463935,0.004515236,0.006162087,0.00161303,0,0,0
DAG 36:4,0.01617849,0.014162004,0.025746389,0.027130709,0.028855884,0.024534369,0.017355951,0.017580547,0.03062207,0.03025486,0.011811099,0.014122276,0.015214781,0.015138728,0.022842424,0.023714073,0.006397236,0.007176606,0.011435801,0.007728788
DAG 36:3,0.035546923,0.028838396,0.103074647,0.107385291,0.01175004,0.024015395,0.038103416,0.039115206,0.063784166,0.062142205,0.024413919,0.023368797,0.034518513,0.034415202,0.024669619,0.025385594,0.016604719,0.017753239,0.020070813,0.020826937
DAG 36:2,0.174177051,0.16307611,1.011204493,1.081645185,0.198294177,0.083824725,0.198554467,0.199483225,0.150050861,0.143591141,0.107941502,0.107107201,0.275072649,0.267127812,0.075486736,0.072352551,0.102984243,0.105265608,0.067154175,0.06870359
DAG 36:1,0.317918544,0.119689932,0.646471404,0.69598498,0.526343685,0.141296141,0.10191166,0.10097398,0.126727454,0.119802061,0.077560631,0.07661688,0.246653229,0.240016706,0.091588197,0.09690693,0.101583704,0.103878196,0.08234248,0.087737721
DAG 36:0,0,0,0,0,0.001423491,0.004235004,0.003607521,0.005110226,0,0,0,0,0,0,0,0.002412753,0,0,0,0
DAG 38:6,0.023182285,0.020600948,0.035974658,0.036468832,0,0.010661051,0.020101039,0.020740556,0.012512973,0.013269444,0.014366277,0.014106861,0.011935595,0.012474697,0.012032222,0.012013835,0.007563841,0,0,0
DAG 38:5,0.022690897,0.030984101,0.063167494,0.067886332,0.036825657,0.040279507,0.035801956,0.035671805,0.047304798,0.041472638,0.028748003,0.026323647,0.034858548,0.035437162,0.031042465,0.026849525,0.023514597,0.024254844,0.012745259,0.012824146
DAG 38:4,0.038409384,0.038217805,0.089093226,0.092218349,0.090105976,0.08344379,0.065873715,0.065106343,0.0797763,0.077827384,0.048297096,0.048399632,0.075536837,0.070175907,0.070071135,0.067700861,0.077347759,0.079737755,0.02640364,0.02671904
DAG 38:3,0.058817873,0.027368329,0.101616044,0.108088688,0.096605161,0.033970344,0.054245218,0.053809877,0.044820484,0.043319648,0.026308852,0.026934855,0.046609086,0.045323219,0.027820189,0.026317344,0.051038735,0.05428777,0.02782406,0.026242875
DAG 38:2,0.19753693,0.019261733,0.092043224,0.096072057,0.472112753,0.050617612,0.039829583,0.040066244,0.017832288,0.016888523,0.007339896,0.005660662,0.025448868,0.025780788,0.017570577,0.021769739,0.025780968,0.02712713,0.123119777,0.117765442
DAG 38:1,0,0,0.045481985,0.0494111,0.857349997,0.164556553,0.047595967,0.051164876,0.036849528,0.034067454,0,0,0,0.086694821,0.032650052,0,0.077967456,0.079339888,0,0
DAG 40:7,0,0,0.06774622,0.071168796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 40:6,0.019531231,0.020340188,0.043761666,0.045561349,0.016451741,0.014272819,0.020617181,0.020041143,0.024417548,0.022632266,0.013473301,0.014180444,0.018932129,0.018827764,0.017536075,0.016660375,0.005679,0,0.004175159,0.004548679
DAG 40:5,0.012232046,0.011510958,0.028145921,0.030616376,0.029264533,0.047530024,0.018969303,0.015216671,0.032520792,0.029650942,0.010740063,0.011016159,0.008736386,0.009932507,0.020451897,0.018583179,0.010944545,0.010700582,0.007982557,0.010463492
DAG 40:4,0,0,0.008398071,0.008383606,0,0,0.021256788,0,0,0,0,0,0.004748805,0,0,0,0,0,0,0
DAG 40:3,0.077789225,0,0.008294242,0.008166806,0.208076079,0.012668438,0.004634395,0.006127006,0,0,0,0,0,0,0.001729688,0.004415538,0.001996528,0.001416968,0,0
DAG 40:2,0.077670109,0.01614054,0.040087673,0.041261509,0.476777411,0.036148797,0.010754066,0.012614366,0.004979419,0.005567801,0,0,0.014969518,0.012549427,0.004294395,0.006974819,0.002835566,0.002672989,0,0
DAG 40:1,0.051667137,0.018951677,0.012939155,0.014293322,0.609893773,0.136319755,0.037518469,0.038565626,0.02906153,0.027566102,0,0,0.062511868,0.076340362,0.029330607,0.035660184,0.071621195,0.07126483,0,0
DAG 42:8,0,0,0.001290275,0.001288897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 42:7,0.001759995,0.001998273,0.004761427,0.004596505,0,0,0,0,0.001132716,0,0,0,0,0,0,0,0,0,0,0
DAG 42:6,0,0,0.002209708,0.002893383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 42:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 42:2,0.002338314,0.002460227,0.008866004,0.009828773,0.009571176,0,0.003974193,0.005036386,0.00417222,0.00382745,0,0,0,0.001017574,0.001987721,0.001610483,0,0.001414723,0,0
DAG 42:1,0.005945902,0.004607109,0.028641187,0.030093618,0,0,0,0,0.005404377,0.005521777,0,0,0.001980072,0.001638895,0,0,0,0,0,0
DAG 44:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 32:2;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 32:0;2,0,0,0,0,0,0.003657969,0.001332931,0,0.001482321,0.001010754,0,0,0,0,0,0,0,0,0,0
HexCer 34:1;2,0.132124248,0.139220809,0.052590143,0.05929282,0.04874073,0.081434967,0.053901683,0.054484625,0.032405216,0.032827988,0.143115021,0.144251498,0.065564365,0.06112376,0.051051838,0.050426157,0.067573135,0.072537247,0.054083232,0.056538558
HexCer 34:0;2,0.009075801,0.015502997,0,0,0,0.001252171,0,0,0.001601597,0.001480311,0.012056353,0.016018951,0,0,0,0,0,0,0.001251172,0
HexCer 36:1;2,0.057605401,0.033304024,0.013993332,0.015003996,0.017298415,0.057020338,0.005384987,0.003656806,0.008666111,0.008352972,0.058571019,0.063438167,0.022094294,0.013020098,0.023780869,0.023813032,0.007813879,0.01422177,0.019373369,0.024171191
HexCer 40:1;2,0.126232034,0.10969445,0.008651164,0.007186923,0.013818818,0.020210354,0.012599432,0.00968268,0,0,0.104489438,0.106138879,0.018063205,0.014787385,0.026569406,0.021776921,0.014126683,0.017062136,0.010563694,0.016922195
HexCer 42:2;2,0.360107496,0.386873096,0.033326334,0.026851067,0.066563474,0.06920025,0.199519211,0.210460714,0.019780275,0.028388922,0.289407135,0.281655027,0.042062764,0.041734007,0.076142033,0.074664273,0.189274658,0.199392025,0.040087193,0.045415809
HexCer 42:1;2,0.31194962,0.339594403,0.117686651,0.125268571,0.047862947,0.092482174,0.07541889,0.065296725,0.032071135,0.032813334,0.276717229,0.282306707,0.126948633,0.11671895,0.039110365,0.037229828,0.068140488,0.074456423,0.03978756,0.043041757
PC O-28:0,0.004140177,0.005249024,0.004796781,0.004633799,0.009620213,0.011844605,0.012925869,0.015663492,0.005455587,0.005225298,0.002427507,0.002244542,0.002368051,0.001344647,0.009162905,0.009022737,0.017971736,0.019427229,0.003580092,0.0039008
PC O-30:2,0,0,0.005874369,0.006377666,0,0,0,0.005489693,0,0,0,0,0.004805604,0.002963494,0.01131168,0.005151858,0.001145236,0.001725752,0.001650086,0.002817554
PC O-30:1,0.014332971,0.015183679,0.074205542,0.081803538,0.083623038,0.09167023,0.085173608,0.094137328,0.020891828,0.020818082,0.013576013,0.013321362,0.062860788,0.060394207,0.070046809,0.067740579,0.072081175,0.076401043,0.031285506,0.032236533
PC O-30:0,0.010817376,0.010811565,0.071427911,0.078242662,0.047315396,0.054844336,0.143591215,0.166148842,0.017395582,0.016915639,0.0108921,0.010600929,0.056724413,0.056249084,0.034681,0.03522279,0.12783746,0.133554891,0.022378339,0.024343852
