CLASS,C,PMOL_PCT_1,PMOL_PCT_2,PMOL_PCT_3,PMOL_PCT_4
PA,32,0.011728612603804,0.0014725833286034,0,0
PA,34,0.0936067840288477,0.0192232578805748,0,0
PA,36,0.0804882326284649,0.0142541972444732,0.00848076115247903,0.00548092149721364
PA,38,0.0258228684629333,0.00747713925181067,0.00643171449741643,0.0016075732453393
PA,40,0.00522301718286186,0,0.00215554526761994,0
PA,44,0.00211096018845003,0,0,0
PEO-,34,0.282516486754216,0.13798890072357,0,0
PEO-,36,1.03011997547482,0.5211135820016,0.00243117159401009,0.00112493956674063
PEO-,38,2.62043447746929,1.33838678973128,0.0612429184022272,0.0440550784792341
PEO-,40,1.3791813456991,0.729858267991714,0.0751586585547962,0.0507576749392321
PEO-,42,0.0803866724219098,0.0550555790381844,0.0158342926377468,0.0104769780091275
PE,32,0.175613191818392,0.0835644366858586,0,0
PE,34,1.30493014066419,0.5537230688245,0.00745270077476171,0.0110032089047836
PE,36,3.06833201064954,1.41437842145182,0.0678036144146029,0.0645280540235839
PE,38,6.61157346689972,3.25225833842932,0.217272725652322,0.147350707324709
PE,40,4.04677204417069,2.06746271028341,0.0546554284126862,0.0254240740890045
PE,42,0.115094764415318,0.0796248133324366,0,0
PG,32,0,0,0,0
PG,34,0.0182703953531868,0.00672198487193468,0,0
PG,36,0.0160563420792605,0.00470467593570905,0,0
PG,38,0.00114261674875453,0,0,0
PG,40,0,0,0,0
PG,42,0,0,0,0
PG,44,0,0,0,0
PI,32,0.0419933919065673,0.0149850737792748,0,0
PI,34,0.275099583675312,0.11636864154513,0.0147150495999164,0.00522789956870681
PI,36,0.588652753374063,0.239343668872819,0.07905267836206,0.0674159465798665
PI,38,1.78483344200325,0.671925763939122,0.771314685234204,0.594109825034555
PI,40,0.135026030187251,0.0536002042151152,0.0115424951444964,0.0114898085316008
PI,42,0,0,0,0
PS,34,0.0243298234997635,0.0153652707034773,0,0
PS,36,0.4621404897694,0.201826309745742,0,0
PS,38,2.21014053790235,1.05663366073104,0,0
PS,40,2.08157022395279,1.01362649637757,0.119368593820342,0.147587393882294
PS,42,0.148916217190364,0.0326665060272455,0.076018335132877,0.101507537815272
PS,44,0,0,0,0
LPA,16,0.249126478847932,0.0331536821894829,0.0642323336592587,0.0371025485658889
LPA,18,0.301557841783907,0.0280809193788682,0.0802024601294464,0.0457634183264472
LPA,20,0.016531789300403,0.00277559918026802,0.0146407701960756,0.00809737483825095
LPEO-,14,0,0,0,0
LPEO-,16,0.00174074296599286,0,0,0
LPEO-,18,0.0018377735275095,0.00101540572856749,0,0
LPEO-,22,0,0,0,0
LPE,16,0.021155453906285,0.0314758558432714,0.0345114609365014,0.025962517290215
LPE,18,0.217859638653379,0.0800496788331938,0.0784678532402883,0.0740505796659162
LPE,20,0.131597944699987,0.0715442845075343,0.0813252425893367,0.0616491575928377
LPE,22,0.167547888579768,0.0859650674948225,0.0693474051780691,0.0473952329208339
LPGO-,14,0,0,0,0
LPGO-,16,0,0,0,0
LPGO-,18,0,0,0,0
LPGO-,20,0,0,0,0
LPGO-,22,0,0,0,0
LPG,14,0.00110112547011766,0,0,0
LPG,16,0,0,0,0
LPG,18,0.00260181746545167,0,0,0
LPG,20,0,0,0,0
LPG,22,0,0,0,0
LPI,16,0.00406996760591586,0,0,0
LPI,18,0.00640694569976956,0.00157602785148325,0,0
LPI,20,0.0159855858076958,0.00811425697855377,0.0247379405512298,0.0232550529843038
LPI,22,0.00129710503910845,0,0,0
LPSO-,18,0.0171607103032837,0.00592803609922636,0,0
LPS,18,0.0210917247591889,0.00785796948818469,0,0
LPS,20,0.0363524140898377,0.0150893650087589,0,0
CE,14,0,0,0,0
CE,16,0.118668094252134,0.094354405495187,1.73745117398971,2.06788064378911
CE,18,4.70540315295689,2.42647787058994,22.803531475018,25.9989405039912
CE,20,6.40089203831774,3.0623610416195,34.9686968862111,39.1711080746177
CE,22,0.695462822285615,0.364550103830206,4.5203599276115,5.62622621037562
HexCer,34,0,0,0.00239570842847484,0.00229262536020314
HexCer,36,0,0,0,0
HexCer,40,0.00367434221616337,0,0,0
HexCer,42,0.0180627046513829,0.0131834035633465,0,0
HexCer,44,0,0,0,0
PCO-,32,0.189187508333204,0.350587374794825,0.00367137432844982,0.0040813959658902
PCO-,34,0.265190020951195,0.483132135956075,0.0273900873017752,0.0221156656549049
PCO-,36,0.156387670119709,0.282163617729282,0.0587388676803708,0.0419548619230067
PCO-,38,0.153361576746181,0.243283279377805,0.0663604490096197,0.0466825167164923
PCO-,40,0.0352767947696798,0.0751797465154288,0.0332625442218881,0.0238397999782756
PCO-,42,0,0,0.00115486952727423,0
PC,28,0,0,0,0
PC,30,0.0712622568998586,0.12121937916785,0,0
PC,32,9.19198181819181,15.6874463121864,0.178824211798351,0.125244727542839
PC,34,14.4703003077401,24.0059657625435,4.93926530299808,3.57530999797281
PC,36,9.6673076927924,16.5504173361625,7.04297326900336,5.02667181479159
PC,38,5.24286119961036,9.24866042254596,5.24730248257822,3.40803049464701
PC,40,1.32149966423483,2.06715483614337,1.96032927359193,1.217880932277
PC,42,0.0837733769560236,0.154700652623599,0.189790635460628,0.105927947727763
PC,44,0,0.00109806217238114,0,0
SM,32,0.0150234650612021,0.00745540194773957,0.00264397330759963,0.00246097980302325
SM,34,1.9345614225634,1.16965592525793,0.480430537344468,0.386292357977173
SM,36,0.51400001550656,0.311639550238132,0.14396757405526,0.094724758556928
SM,38,0.182969158405019,0.119514011718225,0.00704682135098202,0.00971040782317837
SM,40,1.48800722856104,0.89110676169851,0.0998595966730094,0.0767080211721693
SM,42,3.96647217967937,2.3451470053619,0.450584960223171,0.347126418300868
SM,44,0.0549470905455136,0.0293944527276766,0,0
Cer,32,0,0,0,0
Cer,34,0.017797622282519,0.010071256598887,0,0
Cer,36,0.00980929841177069,0.0057574599802992,0,0
Cer,38,0.00182533552176064,0.00148816019277177,0,0
Cer,40,0.0244489408795914,0.0152228055840714,0,0
Cer,42,0.104625318507192,0.05544820940692,0.00751863091115544,0.0050976045595975
Cer,44,0.00127631305790809,0,0,0
DAG,28,0,0,0,0
DAG,30,0,0,0,0
DAG,32,0,0.00440177897046368,0,0.00197602677996438
DAG,34,0.0165740665690767,0.0226198209207691,0.0141483755788443,0.0141674094342653
DAG,36,0.0661161613165591,0.0637782657773221,0.0692691458779157,0.043219869581986
DAG,38,0.00869086085483122,0.00952191265250312,0.0118228441934693,0.00455667510476079
DAG,40,0,0,0,0
LPCO-,16,0.0117353263168258,0.00733171326809324,0.0164722904704837,0.0143568361408675
LPCO-,18,0.0598628878178244,0.0432081303495898,0.0683417482540928,0.055682233147326
LPCO-,20,0.0013870095522998,0,0,0
LPC,14,0.005276123808395,0.00358407757921909,0.0109329539114479,0.00921329206899997
LPC,16,3.34646186197286,2.27780020606862,4.36840967611075,3.76587526320309
LPC,18,4.75193977551772,2.82680005204821,5.84464726591572,5.05109982264293
LPC,20,0.53917380201282,0.376381582424278,2.027991438907,1.59817708464362
LPC,22,0.149335845572322,0.0944992246851149,0.556016793021056,0.442943222051886
