QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_POS_01.raw,PREC:mE504_POS_02.raw,PREC:mE504_POS_03.raw,PREC:mE504_POS_04.raw,PREC:mE504_POS_05.raw,SUMFA:mE504_POS_01.raw,SUMFA:mE504_POS_02.raw,SUMFA:mE504_POS_03.raw,SUMFA:mE504_POS_04.raw,SUMFA:mE504_POS_05.raw,MASSFRAG1,FRAG1:mE504_POS_01.raw,FRAG1:mE504_POS_02.raw,FRAG1:mE504_POS_03.raw,FRAG1:mE504_POS_04.raw,FRAG1:mE504_POS_05.raw,OH,MASSFRAG2,FRAG2:mE504_POS_01.raw,FRAG2:mE504_POS_02.raw,FRAG2:mE504_POS_03.raw,FRAG2:mE504_POS_04.raw,FRAG2:mE504_POS_05.raw,POS
POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISCEPOSMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCEPOSMS2,-0.07ppm,H71 C42 D7 O2 N1 ,CE,15,0,isCE 15:0,Keine,635.6466,3302604.7,2919669.1,2148665.2,984475.6,7454085.1,1147173.6,1114891.8,687598.3,440639.3,3143701.7,376.3958,1147173.6,1114891.8,687598.3,440639.3,3143701.7,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISHexCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISHexCerPosMS2,0.01ppm,H70 C36 O8 N1 ,HexCer,30,1,isHexCer 30:1;2,,644.5096,8703758.7,5985000.1,9562036.8,7189309,23614166.1,6271291,4591499.5,6512949.1,4496112.2,15132736.8,264.2687,5718293.7,4207521.1,5951323.6,4112918.3,13839585.2,2,282.2791,552997.3,383978.4,561625.5,383193.8,1293151.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPCPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPCPosMS2,0.14ppm,H89 C44 P1 O6 N1 ,PC,36,2,isPC 36:2,Keine,758.6423,19986323.4,4182142.3,22698080,20178845.3,39807048.5,402221583.7,395263934.9,444224936.8,502112580.1,4624562.4,184.0736,402221583.7,395263934.9,444224936.8,502112580.1,4624562.4,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPCPosMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPCPosMS2O,0.14ppm,H89 C44 P1 O6 N1 ,PC,36,2,isPCO- 36:2,Keine,758.6423,19986323.4,4182142.3,22698080,20178845.3,39807048.5,402221583.7,395263934.9,444224936.8,502112580.1,4624562.4,184.0736,402221583.7,395263934.9,444224936.8,502112580.1,4624562.4,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISSMPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSMPosMS2,0.20ppm,H72 C35 P1 O6 N2 ,SM,30,1,isSM 30:1;2,None,647.5124,13882679.5,8107865.9,15262952.3,13215228.7,24980959.3,16323594.2,11967245.8,17715368.5,15079984.5,31241229.3,184.0735,16323594.2,11967245.8,17715368.5,15079984.5,31241229.3,2,None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,CholEsterPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CholEsterPosMS1MS2,-0.47ppm,H72 C39 O2 N1 ,CE,12,0,CE 12:0,Keine,586.5555,0,0,0,0,74680.5,2950.2,0,3563.7,3457.6,0,369.3522,2950.2,0,3563.7,3457.6,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,5.31ppm,H62 C41 O2 N1 ,CE,14,7,CE 14:7,Keine,600.4807,0,0,0,0,16387.1,0,0,0,5004.9,0,369.3543,0,0,0,5004.9,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,1.17ppm,H76 C41 O2 N1 ,CE,14,0,CE 14:0,Keine,614.5878,0,0,30586.5,9830,0,21599.3,22815.4,89824.2,69142.2,3959.7,369.3517,21599.3,22815.4,89824.2,69142.2,3959.7,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,1.54ppm,H74 C43 O2 N1 ,CE,16,3,CE 16:3,Keine,636.5724,0,0,0,9266,0,4924,4512.6,23511,22913,0,369.3528,4924,4512.6,23511,22913,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,1.02ppm,H76 C43 O2 N1 ,CE,16,2,CE 16:2,Keine,638.5877,0,0,8123.8,0,0,10419.6,12446.1,47649.4,49709.1,0,369.3513,10419.6,12446.1,47649.4,49709.1,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.38ppm,H78 C43 O2 N1 ,CE,16,1,CE 16:1,Keine,640.6025,2888121.7,2763237.5,10814969.4,11147078.3,7052738,707480.7,750168.5,3461463.7,3268318.8,23344.3,369.352,707480.7,750168.5,3461463.7,3268318.8,23344.3,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.60ppm,H80 C43 O2 N1 ,CE,16,0,CE 16:0,Keine,642.6187,926042.2,1378130.4,7517812.6,7137356.5,0,523297.7,573612.1,2745451.9,2268679.1,8764.2,369.3515,523297.7,573612.1,2745451.9,2268679.1,8764.2,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.77ppm,H78 C45 O2 N1 ,CE,18,3,CE 18:3,Keine,664.6032,61549.5,132420.7,3186723.6,3613987.5,0,248361.6,259636.3,1341909.8,1484922.7,0,369.3519,248361.6,259636.3,1341909.8,1484922.7,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.03ppm,H80 C45 O2 N1 ,CE,18,2,CE 18:2,Keine,666.6184,29181292.6,28196885.2,171044279.8,176900473.6,0,11045652,12702911.8,71012793.4,53741243.9,0,369.3518,11045652,12702911.8,71012793.4,53741243.9,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,1.44ppm,H82 C45 O2 N1 ,CE,18,1,CE 18:1,Keine,668.635,7539501.4,7245368.6,42886859.7,41274443.3,3514,3330627.3,3421063.6,17602673.1,13684068.6,28931.1,369.3516,3330627.3,3421063.6,17602673.1,13684068.6,28931.1,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.59ppm,H76 C47 O2 N1 ,CE,20,6,CE 20:6,Keine,686.5867,22173.9,563.2,0,0,0,5860.6,4232.9,40520.8,44905.7,0,369.3523,5860.6,4232.9,40520.8,44905.7,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.48ppm,H78 C47 O2 N1 ,CE,20,5,CE 20:5,Keine,688.6024,143934.1,92528.6,1920469.4,2239888.9,0,139697.2,160706.7,565992.4,739290.9,22707.6,369.3518,139697.2,160706.7,565992.4,739290.9,22707.6,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.07ppm,H80 C47 O2 N1 ,CE,20,4,CE 20:4,Keine,690.6184,49950209.3,44728519.3,326136514.2,326471008.7,0,22696441.8,19562541,142019981.1,105196259.6,2141.1,369.3514,22696441.8,19562541,142019981.1,105196259.6,2141.1,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,5.15ppm,H82 C47 O2 N1 ,CE,20,3,CE 20:3,Keine,692.6376,0,0,0,28000.9,0,-1.6,6535.5,-1.6,95963.3,0,369.3518,-1.6,6535.5,-1.6,95963.3,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,1.80ppm,H84 C47 O2 N1 ,CE,20,2,CE 20:2,Keine,694.6509,0,0,341481.1,484450.1,0,35397.6,42043.9,195429.5,230211.1,0,369.3516,35397.6,42043.9,195429.5,230211.1,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.23ppm,H86 C47 O2 N1 ,CE,20,1,CE 20:1,Keine,696.6655,0,0,369.2,-1.7,0,69631.6,64888.5,333708.2,177026.7,0,369.3517,69631.6,64888.5,333708.2,177026.7,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.18ppm,H80 C49 O2 N1 ,CE,22,6,CE 22:6,Keine,714.6185,5427136.3,5324580,39554548.2,44247367.2,0,2375990,2544949.6,17164620.6,17565605.7,3359.1,369.3521,2375990,2544949.6,17164620.6,17565605.7,3359.1,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,3.28ppm,H82 C49 O2 N1 ,CE,22,5,CE 22:5,Keine,716.6364,0,0,420598.9,343654.9,0,-1.6,-1.6,-1.6,-1.6,14168.3,369.3516,-1.6,-1.6,-1.6,-1.6,14168.3,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.70ppm,H84 C49 O2 N1 ,CE,22,4,CE 22:4,Keine,718.6502,28191.2,31258.3,2432370.9,2622395.1,0,13192.8,30514.2,187200.4,155473.7,0,369.3519,13192.8,30514.2,187200.4,155473.7,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.53ppm,H88 C49 O2 N1 ,CE,22,2,CE 22:2,Keine,722.6806,0,0,333577.1,315213.2,0,55990.5,48742.8,62094.1,63094.3,0,369.352,55990.5,48742.8,62094.1,63094.3,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-4.73ppm,H90 C49 O2 N1 ,CE,22,1,CE 22:1,Keine,724.6932,0,9081.9,0,0,0,0,11378.9,51447.3,41997.5,0,369.3516,0,11378.9,51447.3,41997.5,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,4.69ppm,H84 C51 O2 N1 ,CE,24,6,CE 24:6,Keine,742.6531,0,10092.8,0,0,0,0,0,24784.8,24235.8,0,369.3518,0,0,24784.8,24235.8,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-1.59ppm,H86 C51 O2 N1 ,CE,24,5,CE 24:5,Keine,744.6641,0,0,0,0,3781,0,0,20538.9,17381.8,0,369.3527,0,0,20538.9,17381.8,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.39ppm,H88 C51 O2 N1 ,CE,24,4,CE 24:4,Keine,746.6812,0,21851.6,1910405.2,1916700.7,0,0,18804,26435.6,26126.9,0,369.3512,0,18804,26435.6,26126.9,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,1.78ppm,H90 C51 O2 N1 ,CE,24,3,CE 24:3,Keine,748.6979,0,1405,0,0,0,31415.9,15974.1,129427.7,107263,0,369.3521,31415.9,15974.1,129427.7,107263,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,5.80ppm,H88 C53 O2 N1 ,CE,26,6,CE 26:6,Keine,770.6854,0,0,0,0,3642,0,0,9801.4,6524.8,0,369.3513,0,0,9801.4,6524.8,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.53ppm,H90 C53 O2 N1 ,CE,26,5,CE 26:5,Keine,772.697,0,0,26147.2,60029.9,0,0,0,45499.5,31717.4,0,369.3513,0,0,45499.5,31717.4,0,None, None, None, None, None, None, None,
CholEsterPosMS1MS2,4.70ppm,H98 C59 O2 N1 ,CE,32,7,CE 32:7,Keine,852.7632,0,0,0,0,11324.2,0,0,6700.2,4644.6,0,369.3534,0,0,6700.2,4644.6,0,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,HexCer2OHPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HexCer2OHPosMS1MS2,3.13ppm,H72 C38 O8 N1 ,HexCer,32,2,HexCer 32:2;2,HexCer 18:1/14:1,670.5273,0,0,0,0,3222.2,2546.4,0,8001.8,0,8928.8,264.2683,2546.4,0,3907.7,0,8928.8,2,282.2812,0,0,4094.1,0,0,
HexCer2OHPosMS1MS2,-1.29ppm,H74 C38 O8 N1 ,HexCer,32,1,HexCer 32:1;2,HexCer 18:1/14:0,672.54,0,0,0,0,37288.2,6415.7,7200.7,0,0,14085.9,264.2682,6415.7,7200.7,0,0,11014.3,2,282.2793,0,0,0,0,3071.5,
HexCer2OHPosMS1MS2,1.01ppm,H76 C40 O8 N1 ,HexCer,34,2,HexCer 34:2;2,HexCer 18:1/16:1,698.5573,10587.5,0,0,0,0,30553.3,25141.1,52733.7,51789.4,3983.3,264.2683,26959.2,25141.1,49299.8,48012.7,3983.3,2,282.2786,3594.1,0,3434,3776.8,0,
HexCer2OHPosMS1MS2,-0.52ppm,H78 C40 O8 N1 ,HexCer,34,1,HexCer 34:1;2,HexCer 18:1/16:0,700.5718,0,23531,150919.5,191824.4,76299.7,115972.5,115892,350589.7,415953.3,4975.7,264.2689,105797.3,105436.9,320310,379012.8,4975.7,2,282.2793,10175.2,10455.1,30279.6,36940.5,0,
HexCer2OHPosMS1MS2,0.67ppm,H80 C40 O8 N1 ,HexCer,34,0,HexCer 34:0;2,HexCer 18:1/16:0,702.5883,0,0,0,0,17414.5,5290.5,5586.8,-1.6,450.6,5038.9,264.2686,5290.5,-1.6,-1.6,-1.6,5038.9,2,282.2791,0,5588.4,0,452.2,0,
HexCer2OHPosMS1MS2,0.67ppm,H80 C40 O8 N1 ,HexCer,34,0,HexCer 34:0;2,HexCer 18:0/16:0,702.5883,0,0,0,0,17414.5,99216.7,84467.6,0,0,0,266.2842,82790.4,74631.4,0,0,0,2,284.2944,16426.4,9836.1,0,0,0,
HexCer2OHPosMS1MS2,-0.27ppm,H82 C42 O8 N1 ,HexCer,36,1,HexCer 36:1;2,HexCer 18:1/18:0,728.6033,0,0,48610.7,15942.8,68934.6,83909.6,63538.5,380903.7,276387.3,2440.8,264.2688,79499.4,58878.4,347037.7,251018,2440.8,2,282.2792,4410.2,4660.1,33866.1,25369.4,0,
HexCer2OHPosMS1MS2,-1.27ppm,H82 C44 O8 N1 ,HexCer,38,3,HexCer 38:3;2,HexCer 18:2/20:1,752.6025,0,0,0,0,15959.9,18951.3,0,11552.6,7977.7,0,262.2534,0,0,11552.6,7977.7,0,2,280.2668,18951.3,0,0,0,0,
HexCer2OHPosMS1MS2,-1.27ppm,H82 C44 O8 N1 ,HexCer,38,3,HexCer 38:3;2,HexCer 18:1/20:2,752.6025,0,0,0,0,15959.9,0,20951.4,239783.3,231899,5045.7,264.2685,0,20951.4,231608.7,217846.5,5045.7,2,282.2794,0,0,8174.6,14052.5,0,
HexCer2OHPosMS1MS2,-1.27ppm,H82 C44 O8 N1 ,HexCer,38,3,HexCer 38:3;2,HexCer 18:0/20:3,752.6025,0,0,0,0,15959.9,252104.1,193231.5,4053.1,5105,0,266.2842,225646.4,171879.3,4053.1,5105,0,2,284.2949,26457.7,21352.2,0,0,0,
HexCer2OHPosMS1MS2,-1.27ppm,H82 C44 O8 N1 ,HexCer,38,3,HexCer 38:3;2,HexCer 20:0/18:3,752.6025,0,0,0,0,15959.9,198392.5,171955.9,15376.7,15784.9,0,294.3159,198392.5,154687.2,15376.7,15784.9,0,2,312.3269,0,17268.7,0,0,0,
HexCer2OHPosMS1MS2,0.04ppm,H90 C46 O8 N1 ,HexCer,40,1,HexCer 40:1;2,HexCer 18:1/22:0,784.6661,95750.9,23736.5,42609.5,0,13759.9,278629.4,245965.2,174132.7,235377.8,5297.3,264.2684,278629.4,227747.2,174132.7,235377.8,5297.3,2,282.2815,0,18218,0,0,0,
HexCer2OHPosMS1MS2,0.23ppm,H94 C48 O8 N1 ,HexCer,42,1,HexCer 42:1;2,HexCer 18:1/24:0,812.6976,447153.1,474611.7,31107.6,0,3751.8,987574.4,743041,157048.5,138790,0,264.2686,929052.1,667183.2,157048.5,138790,0,2,282.2803,58522.2,75857.7,0,0,0,
HexCer2OHPosMS1MS2,-1.87ppm,H100 C50 O8 N1 ,HexCer,44,0,HexCer 44:0;2,HexCer 18:1/26:0,842.7428,0,0,11518.9,0,3251.5,-1.8,-1.8,24921.3,0,3805.5,264.2692,-1.8,-1.8,22698.8,0,3805.5,2,282.2805,0,0,2222.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCOPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOPosMS1MS2,-5.70ppm,H71 C38 N1 O7 P1 ,PCO-,30,4,PCO- 30:4,Keine,684.4924,8800.4,513.3,0,0,141942,78275.5,67745.2,43740.9,37272.7,3740.1,184.0735,78275.5,67745.2,43740.9,37272.7,3740.1,None, None, None, None, None, None, None,
PCOPosMS1MS2,-1.85ppm,H69 C40 N1 O7 P1 ,PCO-,32,7,PCO- 32:7,Keine,706.4793,0,7104.2,0,0,0,8305848.9,7618168.4,1848021.3,2046403.3,5556,184.0736,8305848.9,7618168.4,1848021.3,2046403.3,5556,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.59ppm,H81 C40 N1 O7 P1 ,PCO-,32,1,PCO- 32:1,Keine,718.5749,3037979.5,2314926.2,155821.4,347686.7,0,4246135.6,3948316.5,1707405.2,1647545.1,751503,184.0735,4246135.6,3948316.5,1707405.2,1647545.1,751503,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.56ppm,H83 C40 N1 O7 P1 ,PCO-,32,0,PCO- 32:0,Keine,720.5906,10363626.4,8687306.7,389949.2,705340.5,0,17143627.9,15533285.5,1633779.6,1882299.7,-1.6,184.0735,17143627.9,15533285.5,1633779.6,1882299.7,-1.6,None, None, None, None, None, None, None,
PCOPosMS1MS2,-2.48ppm,H67 C42 N1 O7 P1 ,PCO-,34,10,PCO- 34:10,Keine,728.4632,0,0,0,0,29999.8,256447.3,192461.1,363539.7,328249.9,0,184.0734,256447.3,192461.1,363539.7,328249.9,0,None, None, None, None, None, None, None,
PCOPosMS1MS2,-3.44ppm,H69 C42 N1 O7 P1 ,PCO-,34,9,PCO- 34:9,Keine,730.4781,10734.3,42976.5,0,0,0,2432550.8,2037767.5,2423318.5,2715379.4,3371.4,184.0734,2432550.8,2037767.5,2423318.5,2715379.4,3371.4,None, None, None, None, None, None, None,
PCOPosMS1MS2,4.27ppm,H71 C42 N1 O7 P1 ,PCO-,34,8,PCO- 34:8,Keine,732.4994,0,2286.4,0,0,0,29031502.6,23545922.6,11098561,11517934.4,16029.7,184.0736,29031502.6,23545922.6,11098561,11517934.4,16029.7,None, None, None, None, None, None, None,
PCOPosMS1MS2,-3.32ppm,H81 C42 N1 O7 P1 ,PCO-,34,3,PCO- 34:3,Keine,742.572,1418416.6,818087.1,137116,325553.7,57542.5,678837.6,555803.3,914011.5,894720.9,9974.4,184.0734,678837.6,555803.3,914011.5,894720.9,9974.4,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.07ppm,H83 C42 N1 O7 P1 ,PCO-,34,2,PCO- 34:2,Keine,744.5902,2657802,2191881.6,899062.5,1329901.6,0,3760352.6,3957129.7,2672571,3031966.8,10997.7,184.0735,3760352.6,3957129.7,2672571,3031966.8,10997.7,None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.09ppm,H85 C42 N1 O7 P1 ,PCO-,34,1,PCO- 34:1,Keine,746.6057,13791646,11311064.7,3172629.2,4079702.2,0,18206445.6,17789784.5,5068936.9,5687590.1,5534.3,184.0735,18206445.6,17789784.5,5068936.9,5687590.1,5534.3,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.75ppm,H87 C42 N1 O7 P1 ,PCO-,34,0,PCO- 34:0,Keine,748.622,946474.6,846802.4,13138.1,0,0,3729399.5,7963179.5,-1.7,-1.7,2583.9,184.0735,3729399.5,7963179.5,-1.7,-1.7,2583.9,None, None, None, None, None, None, None,
PCOPosMS1MS2,-2.81ppm,H69 C44 N1 O7 P1 ,PCO-,36,11,PCO- 36:11,Keine,754.4785,170457.3,279941.2,0,0,0,648592.8,605530.4,979969.7,956000,2155.1,184.0735,648592.8,605530.4,979969.7,956000,2155.1,None, None, None, None, None, None, None,
PCOPosMS1MS2,-2.57ppm,H71 C44 N1 O7 P1 ,PCO-,36,10,PCO- 36:10,Keine,756.4943,1555697,1295075.6,0,0,0,8362598.8,7983657.2,18166747.9,19703006.7,6061.2,184.0734,8362598.8,7983657.2,18166747.9,19703006.7,6061.2,None, None, None, None, None, None, None,
PCOPosMS1MS2,-3.28ppm,H75 C44 N1 O7 P1 ,PCO-,36,8,PCO- 36:8,Keine,760.5251,0,0,0,0,113645.8,329051632.2,269528593.5,181125544.9,141769380.9,-1.7,184.0736,329051632.2,269528593.5,181125544.9,141769380.9,-1.7,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.74ppm,H79 C44 N1 O7 P1 ,PCO-,36,6,PCO- 36:6,Keine,764.5594,38065.4,62415.1,25668.3,12042.5,0,-1.7,-1.7,529281.2,678008.8,4428.6,184.0733,-1.7,-1.7,529281.2,678008.8,4428.6,None, None, None, None, None, None, None,
PCOPosMS1MS2,1.47ppm,H81 C44 N1 O7 P1 ,PCO-,36,5,PCO- 36:5,Keine,766.5756,2494752.2,1866947.5,3284401.2,4002185.5,377139.1,2131952.9,1469556.1,3025973.2,2897751.5,0,184.0735,2131952.9,1469556.1,3025973.2,2897751.5,0,None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.56ppm,H83 C44 N1 O7 P1 ,PCO-,36,4,PCO- 36:4,Keine,768.5897,7156230.9,5562864,5005057.5,6194026.9,0,6796588.4,6378621.2,5419098.8,6074400.3,5294.9,184.0735,6796588.4,6378621.2,5419098.8,6074400.3,5294.9,None, None, None, None, None, None, None,
PCOPosMS1MS2,-1.24ppm,H85 C44 N1 O7 P1 ,PCO-,36,3,PCO- 36:3,Keine,770.6049,166506.1,268654.6,44442,64632.7,0,1230573.7,1070429.4,1402533.8,1947273.5,2298.6,184.0734,1230573.7,1070429.4,1402533.8,1947273.5,2298.6,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.03ppm,H87 C44 N1 O7 P1 ,PCO-,36,2,PCO- 36:2,Keine,772.6215,1472536.3,1200809.8,683039.8,842345.3,44874,9707180.4,7499653.6,7125330.3,8660770.8,32600.1,184.0735,9707180.4,7499653.6,7125330.3,8660770.8,32600.1,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.41ppm,H89 C44 N1 O7 P1 ,PCO-,36,1,PCO- 36:1,Keine,774.6374,-1.7,-1.7,-1.7,-1.7,0,4484019.7,3994327.3,553305.3,185761.7,2098,184.0735,4484019.7,3994327.3,553305.3,185761.7,2098,None, None, None, None, None, None, None,
PCOPosMS1MS2,0.06ppm,H91 C44 N1 O7 P1 ,PCO-,36,0,PCO- 36:0,Keine,776.6528,-1.7,-1.7,0,0,0,2054257.4,1736448.9,941228.3,961844.4,0,184.0735,2054257.4,1736448.9,941228.3,961844.4,0,None, None, None, None, None, None, None,
PCOPosMS1MS2,-1.77ppm,H71 C46 N1 O7 P1 ,PCO-,38,12,PCO- 38:12,Keine,780.4949,571211.3,530068.3,0,0,0,5301430.5,4512194.6,10146009.8,10831704.6,5587.5,184.0735,5301430.5,4512194.6,10146009.8,10831704.6,5587.5,None, None, None, None, None, None, None,
PCOPosMS1MS2,-4.26ppm,H73 C46 N1 O7 P1 ,PCO-,38,11,PCO- 38:11,Keine,782.5086,0,0,0,0,185677.4,223699639,183691828.4,415827206.4,464430207.3,3470.2,184.0736,223699639,183691828.4,415827206.4,464430207.3,3470.2,None, None, None, None, None, None, None,
PCOPosMS1MS2,3.61ppm,H75 C46 N1 O7 P1 ,PCO-,38,10,PCO- 38:10,Keine,784.5304,0,0,0,0,5390.3,39287080.6,41628180.9,43446161.8,50552323.5,4987.7,184.0736,39287080.6,41628180.9,43446161.8,50552323.5,4987.7,None, None, None, None, None, None, None,
PCOPosMS1MS2,-5.04ppm,H79 C46 N1 O7 P1 ,PCO-,38,8,PCO- 38:8,Keine,788.5549,0,0,566156.2,575578,1225083.4,77064540.2,71131207.3,20596022.9,23864000.1,26758.1,184.0736,77064540.2,71131207.3,20596022.9,23864000.1,26758.1,None, None, None, None, None, None, None,
PCOPosMS1MS2,-1.51ppm,H81 C46 N1 O7 P1 ,PCO-,38,7,PCO- 38:7,Keine,790.5733,109460.4,98812.8,1723989.7,2032883.9,0,-1.7,-1.7,-1.7,-1.7,22411.4,184.0734,-1.7,-1.7,-1.7,-1.7,22411.4,None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.17ppm,H83 C46 N1 O7 P1 ,PCO-,38,6,PCO- 38:6,Keine,792.59,996466.7,1391078.6,2248127.2,2832598,0,3032079.8,2782282.3,3357607.3,3459829.3,9.6,184.0736,3032079.8,2782282.3,3357607.3,3459829.3,9.6,None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.48ppm,H85 C46 N1 O7 P1 ,PCO-,38,5,PCO- 38:5,Keine,794.6054,7981583.8,6243706.6,5888845.4,7228764.4,0,8753634.6,7471356.6,7685566,8618696.7,4849.3,184.0735,8753634.6,7471356.6,7685566,8618696.7,4849.3,None, None, None, None, None, None, None,
PCOPosMS1MS2,-3.28ppm,H87 C46 N1 O7 P1 ,PCO-,38,4,PCO- 38:4,Keine,796.6189,1893587.2,-1.7,1736808.4,1990969.9,15650.9,7239270.5,6404480.6,9706886.8,10056852.8,0,184.0735,7239270.5,6404480.6,9706886.8,10056852.8,0,None, None, None, None, None, None, None,
PCOPosMS1MS2,-2.98ppm,H89 C46 N1 O7 P1 ,PCO-,38,3,PCO- 38:3,Keine,798.6347,14740.5,0,0,12899.6,0,2531366.4,1758595.2,-1.7,220300.8,0,184.0735,2531366.4,1758595.2,-1.7,220300.8,0,None, None, None, None, None, None, None,
