QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,SPECIE,MASS,PREC:mE531_POS_01.raw,PREC:mE531_POS_02.raw,PREC:mE531_POS_03.raw,PREC:mE531_POS_04.raw,PREC:mE531_POS_05.raw,SUMFA:mE531_POS_01.raw,SUMFA:mE531_POS_02.raw,SUMFA:mE531_POS_03.raw,SUMFA:mE531_POS_04.raw,SUMFA:mE531_POS_05.raw,MASSFRAG1,FRAG1:mE531_POS_01.raw,FRAG1:mE531_POS_02.raw,FRAG1:mE531_POS_03.raw,FRAG1:mE531_POS_04.raw,FRAG1:mE531_POS_05.raw,MASSFRAG2,FRAG2:mE531_POS_01.raw,FRAG2:mE531_POS_02.raw,FRAG2:mE531_POS_03.raw,FRAG2:mE531_POS_04.raw,FRAG2:mE531_POS_05.raw,FA1,MASSFA1,FA1INTENS:mE531_POS_01.raw,FA1INTENS:mE531_POS_02.raw,FA1INTENS:mE531_POS_03.raw,FA1INTENS:mE531_POS_04.raw,FA1INTENS:mE531_POS_05.raw,FA2,MASSFA2,FA2INTENS:mE531_POS_01.raw,FA2INTENS:mE531_POS_02.raw,FA2INTENS:mE531_POS_03.raw,FA2INTENS:mE531_POS_04.raw,FA2INTENS:mE531_POS_05.raw,POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCerPosMS2,-0.42ppm,H60 C30 O3 N1 ,Cer,30,1,2,isCer 30:1;2,,482.4566,3359199.4,3163358.5,1051152.8,2583317.1,6155212.7,2395353.2,1978679.8,885721.2,2469705.7,6240486.2,264.2686,2144605.4,1763499.6,789244.5,2202396.8,5535791.6,282.279,250747.8,215180.1,96476.7,267308.8,704694.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISDAGPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISDAGPosMS2,-0.29ppm,H56 C27 O5 N1 ,DAG,24,0,None, isDAG 24:0,isDAG 12:0/12:0,474.4152,2892561.6,3497094.8,1095869.7,2293774.7,4384652.2,1775735.8,1795320.3,780885.1,2035500.4,3605648.6,None, None, None, None, None, None, None, None, None, None, None, None, 12:0,217.2042,1775735.8,1795320.3,780885.1,2035500.4,3605648.6,12:0,217.2042,1775735.8,1795320.3,780885.1,2035500.4,3605648.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPCPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPCPosMS2,-0.47ppm,H43 C20 P1 O7 N1 ,LPC,12,0,None, isLPC 12:0,Keine,440.277,6451160.2,11803838.3,4005175.7,5933168.2,7932450.7,2997796,4915310.2,2321071.9,3931124.2,5049474.9,184.0734,2997796,4915310.2,2321071.9,3931124.2,5049474.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPCPosMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPCPosMS2O,-0.47ppm,H43 C20 P1 O7 N1 ,LPC,12,0,None, isLPCO- 12:0,Keine,440.277,6451160.2,11803838.3,4005175.7,5933168.2,7932450.7,2997796,4915310.2,2321071.9,3931124.2,5049474.9,184.0734,2997796,4915310.2,2321071.9,3931124.2,5049474.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,Cer2OHPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer2OHPosMS1MS2,0.13ppm,H64 C32 O3 N1 ,Cer,32,1,2,Cer 32:1;2,Cer 18:1/14:0,510.4881,1908.6,6796.7,3238.7,33595.7,2788.5,0,2451.4,0,23491.2,-1.4,264.2688,0,2451.4,0,20864.9,-1.4,282.2803,0,0,0,2626.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,1.99ppm,H64 C34 O3 N1 ,Cer,34,3,2,Cer 34:3;2,Cer 18:1/16:2,534.4891,0,0,334.3,0,24.2,23756.8,5693.5,0,27765.7,47224.7,264.2685,21511.5,5693.5,0,25034.2,43199.5,282.2791,2245.3,0,0,2731.5,4025.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.51ppm,H68 C34 O3 N1 ,Cer,34,1,2,Cer 34:1;2,Cer 18:1/16:0,538.5191,9881.9,27744.6,41001,185899.6,1478.6,28366.9,27203.9,39294.1,187789.2,9267.3,264.2688,24925.6,23941,35099.6,158076.3,2290.9,282.2784,3441.3,3262.9,4194.5,29712.8,6976.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.30ppm,H70 C36 O3 N1 ,Cer,36,2,2,Cer 36:2;2,Cer 18:2/18:0,564.5352,630.3,521465.5,0,655.2,0,0,164436.1,0,0,0,262.2528,0,147037.6,0,0,0,280.2637,0,17398.5,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.13ppm,H72 C36 O3 N1 ,Cer,36,1,2,Cer 36:1;2,Cer 18:1/18:0,566.5506,1357.1,1628580.2,18497.8,27077.9,1855.3,0,623573.3,11605.7,21724.6,4081.2,264.2688,0,550248.5,8951.8,17009.4,0,282.2785,0,73324.7,2653.9,4715.2,4081.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.86ppm,H74 C38 O3 N1 ,Cer,38,2,2,Cer 38:2;2,Cer 18:1/20:1,592.5658,1559.3,27339.5,0,5313.7,7221.8,7892.4,12418.3,0,4175.4,13794.4,264.2689,5569.4,10048.7,0,4175.4,13794.4,282.2812,2323,2369.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-1.16ppm,H76 C38 O3 N1 ,Cer,38,1,2,Cer 38:1;2,Cer 20:1/18:0,594.5813,13201.5,238091.7,8860.9,14391.2,3547.3,2737.6,62032.4,0,3587.7,11044.5,292.2998,0,53129,0,0,0,310.3105,2737.6,8903.4,0,3587.7,11044.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-3.23ppm,H78 C40 O3 N1 ,Cer,40,2,2,Cer 40:2;2,Cer 18:1/22:1,620.5956,29491.8,102764.7,4288.7,13886.8,26504.1,4108.7,73458.8,2529.3,22534.5,3462.8,264.2692,0,61878.5,2529.3,7243.6,0,282.2798,4108.7,11580.3,0,15290.9,3462.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.64ppm,H80 C40 O3 N1 ,Cer,40,1,2,Cer 40:1;2,Cer 18:1/22:0,622.6129,-1.6,10970,63264,11266.6,-1.6,6715.8,12008.4,49931,16115.8,0,264.2676,6715.8,12008.4,45445.8,16115.8,0,282.2802,0,0,4485.2,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-1.03ppm,H80 C42 O3 N1 ,Cer,42,3,2,Cer 42:3;2,Cer 18:1/24:2,646.6126,0,30587.8,5669.2,608.6,0,84399.1,101069.4,37667.4,101666.6,173856.3,264.2686,79447.4,92516.9,37667.4,96195.9,158353.3,282.2789,4951.6,8552.5,0,5470.8,15503,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.03ppm,H82 C42 O3 N1 ,Cer,42,2,2,Cer 42:2;2,Cer 18:1/24:1,648.6289,27523,348746.3,141557.4,79272.1,4555,8283.1,269876.4,88823,74569.6,-1.6,264.2684,8283.1,237590.4,80810.4,68829.7,-1.6,282.2792,0,32285.9,8012.6,5739.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.27ppm,H84 C42 O3 N1 ,Cer,42,1,2,Cer 42:1;2,Cer 18:0/24:1,650.6444,2191.4,-1.6,133326,67190.8,9412.4,0,3677.1,3706.2,0,0,266.2804,0,-1.6,0,0,0,284.296,0,3678.7,3706.2,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.27ppm,H84 C42 O3 N1 ,Cer,42,1,2,Cer 42:1;2,Cer 18:1/24:0,650.6444,2191.4,-1.6,133326,67190.8,9412.4,7276.2,4628.2,87425.2,52910.5,0,264.2684,7276.2,4628.2,77414.7,47083.6,0,282.2792,0,0,10010.5,5826.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.45ppm,H86 C42 O3 N1 ,Cer,42,0,2,Cer 42:0;2,Cer 18:0/24:0,652.6599,95737.5,37078.9,23623.4,25465,385324.6,0,2800.3,3715,0,0,266.2844,0,0,-1.6,0,0,284.2953,0,2800.3,3716.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-1.80ppm,H92 C46 O3 N1 ,Cer,46,1,2,Cer 46:1;2,Cer 18:1/28:0,706.7059,0,1223.8,0,0,704.2,77994.7,28574.9,9134.2,46070.6,142036.7,264.2684,74883.8,28574.9,9134.2,46070.6,131569.4,282.2804,3111,0,0,0,10467.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,DAGPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGPosMS1MS2,-0.28ppm,H64 C31 O5 N1 ,DAG,28,0,None, DAG 28:0,DAG 14:0-14:0,530.4777,227225.8,224162.2,69824,145218,388060.9,99899.1,84077.4,45629.1,106921.3,259701.2,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2354,99899.1,84077.4,45629.1,106921.3,259701.2,14:0,245.2354,99899.1,84077.4,45629.1,106921.3,259701.2,
DAGPosMS1MS2,-0.35ppm,H66 C33 O5 N1 ,DAG,30,1,None, DAG 30:1,DAG 14:0-16:1,556.4934,15816.8,10838.6,3086.8,94134.4,7760.2,2204.5,0,0,13221.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.234,0,0,0,6347.8,0,16:1,271.2514,2204.5,0,0,6873.6,0,
DAGPosMS1MS2,-0.25ppm,H68 C33 O5 N1 ,DAG,30,0,None, DAG 30:0,DAG 14:0-16:0,558.5091,35829.8,17374.1,7745.4,64360.2,19220.6,8195.9,6055.1,2338.5,24319.9,2936.6,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2354,4188.9,2931.3,0,11559,0,16:0,273.2656,4007,3123.8,2338.5,12760.9,2936.6,
DAGPosMS1MS2,-0.47ppm,H68 C35 O5 N1 ,DAG,32,2,None, DAG 32:2,DAG 16:1-16:1,582.5089,82788.1,4226.6,542.6,45006.5,1311.2,7805.3,0,0,8966.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,271.2509,7805.3,0,0,8966.9,0,16:1,271.2509,7805.3,0,0,8966.9,0,
DAGPosMS1MS2,-0.47ppm,H68 C35 O5 N1 ,DAG,32,2,None, DAG 32:2,DAG 14:0-18:2,582.5089,82788.1,4226.6,542.6,45006.5,1311.2,16282.9,0,0,9224.7,0,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2352,7064.6,0,0,4113.1,0,18:2,297.2661,9218.2,0,0,5111.6,0,
DAGPosMS1MS2,-0.34ppm,H70 C35 O5 N1 ,DAG,32,1,None, DAG 32:1,DAG 16:0-16:1,584.5247,147501.1,41302.7,4723.4,204683.1,10243.2,32472.2,13637.2,0,41681.1,2440.4,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2665,17374.4,3936.7,0,20144.9,0,16:1,271.2505,15097.9,9700.6,0,21536.2,2440.4,
DAGPosMS1MS2,-0.34ppm,H70 C35 O5 N1 ,DAG,32,1,None, DAG 32:1,DAG 14:0-18:1,584.5247,147501.1,41302.7,4723.4,204683.1,10243.2,19756.1,2777.5,0,47992.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2361,8214.3,2777.5,0,22377.5,0,18:1,299.2823,11541.8,0,0,25615.4,0,
DAGPosMS1MS2,-0.17ppm,H72 C35 O5 N1 ,DAG,32,0,None, DAG 32:0,DAG 16:0-16:0,586.5404,182839,314025.4,94102.5,115051.7,134603.7,45934.5,78643.2,21213.3,40031.5,17111,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.267,45934.5,78643.2,21213.3,40031.5,17111,16:0,273.267,45934.5,78643.2,21213.3,40031.5,17111,
DAGPosMS1MS2,-0.65ppm,H68 C37 O5 N1 ,DAG,34,4,None, DAG 34:4,DAG 18:3-16:1,606.5088,1389.7,713.4,0,2922,566.5,0,0,0,6174,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:3,295.2512,0,0,0,2891.6,0,16:1,271.251,0,0,0,3282.4,0,
DAGPosMS1MS2,-0.44ppm,H70 C37 O5 N1 ,DAG,34,3,None, DAG 34:3,DAG 18:2-16:1,608.5246,265370.9,0,0,78316,0,87120.6,0,0,19518.5,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2664,44785.1,0,0,10119.2,0,16:1,271.2511,42335.4,0,0,9399.3,0,
DAGPosMS1MS2,-0.44ppm,H70 C37 O5 N1 ,DAG,34,3,None, DAG 34:3,DAG 16:0-18:3,608.5246,265370.9,0,0,78316,0,0,0,0,18585.8,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2679,0,0,0,6826.4,0,18:3,295.2515,0,0,0,11759.4,0,
DAGPosMS1MS2,-0.44ppm,H72 C37 O5 N1 ,DAG,34,2,None, DAG 34:2,DAG 18:1-16:1,610.5402,890890.3,35715.6,30762.2,190006.5,487.2,106867.6,10800.8,0,68459.7,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2823,55559.8,5432.6,0,36264.3,0,16:1,271.251,51307.9,5368.2,0,32195.5,0,
DAGPosMS1MS2,-0.44ppm,H72 C37 O5 N1 ,DAG,34,2,None, DAG 34:2,DAG 16:0-18:2,610.5402,890890.3,35715.6,30762.2,190006.5,487.2,279922.5,9330.6,14011.2,50063.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2671,126329.4,4358.8,5543.4,19395.1,0,18:2,297.2667,153593.1,4971.8,8467.8,30668,0,
DAGPosMS1MS2,-0.23ppm,H74 C37 O5 N1 ,DAG,34,1,None, DAG 34:1,DAG 18:0-16:1,612.556,603161.2,1039942.7,95477.6,563163.5,24694.8,4280,8644.9,0,29382.5,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2966,4280,2946.8,0,17537.6,0,16:1,271.2508,0,5698.1,0,11844.8,0,
DAGPosMS1MS2,-0.23ppm,H74 C37 O5 N1 ,DAG,34,1,None, DAG 34:1,DAG 16:0-18:1,612.556,603161.2,1039942.7,95477.6,563163.5,24694.8,245457.6,421633.3,38569.1,169345.6,8003.2,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2662,116516.2,206011.5,18579.9,81596.7,3968.7,18:1,299.2831,128941.5,215621.9,19989.2,87748.9,4034.6,
DAGPosMS1MS2,-0.18ppm,H76 C37 O5 N1 ,DAG,34,0,None, DAG 34:0,DAG 16:0-18:0,614.5717,95776.9,209159.2,107429.3,82832.4,98929.1,30627.1,79247.6,26707.9,31443.6,26281.7,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2673,8887.4,30001.7,11018,10963.5,13470.7,18:0,301.2984,21739.7,49246,15689.9,20480.1,12810.9,
DAGPosMS1MS2,1.71ppm,H70 C39 O5 N1 ,DAG,36,5,None, DAG 36:5,DAG 18:2-18:3,632.5259,5653.7,0,0,18478,1438,6613.9,0,0,8529.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2677,3235.7,0,0,4216.7,0,18:3,295.2507,3378.2,0,0,4312.4,0,
DAGPosMS1MS2,-0.59ppm,H72 C39 O5 N1 ,DAG,36,4,None, DAG 36:4,DAG 18:1-18:3,634.5401,492838.5,759629.7,3537.7,116858.6,0,28977.7,4420.6,3419.3,31675.2,3873.9,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2828,15081.5,4420.6,3419.3,14635.4,3873.9,18:3,295.2509,13896.2,0,0,17039.8,0,
DAGPosMS1MS2,-0.59ppm,H72 C39 O5 N1 ,DAG,36,4,None, DAG 36:4,DAG 16:0-20:4,634.5401,492838.5,759629.7,3537.7,116858.6,0,4904.7,210329.4,5214.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2661,0,28553.7,0,0,0,20:4,321.2665,4904.7,181775.6,5214.6,0,0,
DAGPosMS1MS2,-0.59ppm,H72 C39 O5 N1 ,DAG,36,4,None, DAG 36:4,DAG 18:2-18:2,634.5401,492838.5,759629.7,3537.7,116858.6,0,150922.3,0,3182.2,4739.2,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.268,150922.3,0,3182.2,4739.2,0,18:2,297.268,150922.3,0,3182.2,4739.2,0,
DAGPosMS1MS2,-0.10ppm,H74 C39 O5 N1 ,DAG,36,3,None, DAG 36:3,DAG 16:0-20:3,636.5561,1381636.4,16311.6,7253.8,296069.7,0,0,17266.9,0,4590.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2688,0,1409.1,0,0,0,20:3,323.2821,0,15857.8,0,4590.9,0,
DAGPosMS1MS2,-0.10ppm,H74 C39 O5 N1 ,DAG,36,3,None, DAG 36:3,DAG 18:0-18:3,636.5561,1381636.4,16311.6,7253.8,296069.7,0,0,0,0,14705.8,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2976,0,0,0,5756.7,0,18:3,295.2511,0,0,0,8949.1,0,
DAGPosMS1MS2,-0.10ppm,H74 C39 O5 N1 ,DAG,36,3,None, DAG 36:3,DAG 18:2-18:1,636.5561,1381636.4,16311.6,7253.8,296069.7,0,582941.1,7365.2,8735.5,94628.2,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2669,292229.5,3307.5,5153.7,50328.5,0,18:1,299.2828,290711.7,4057.7,3581.8,44299.7,0,
DAGPosMS1MS2,-0.78ppm,H76 C39 O5 N1 ,DAG,36,2,None, DAG 36:2,DAG 18:2-18:0,638.5713,991408,343261,24842.5,405067.1,747.1,30865.7,37659,3517.8,102511,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2674,-1.6,32175.6,3517.8,49075.3,0,18:0,301.2973,30867.3,5483.4,0,53435.7,0,
DAGPosMS1MS2,-0.78ppm,H76 C39 O5 N1 ,DAG,36,2,None, DAG 36:2,DAG 18:1-18:1,638.5713,991408,343261,24842.5,405067.1,747.1,442704.6,110341.3,17006.2,165596.7,4124.9,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2819,442704.6,110341.3,17006.2,165596.7,4124.9,18:1,299.2819,442704.6,110341.3,17006.2,165596.7,4124.9,
DAGPosMS1MS2,-0.43ppm,H78 C39 O5 N1 ,DAG,36,1,None, DAG 36:1,DAG 16:0-20:1,640.5872,146317.9,1053416.2,86004.4,1978889.3,164439.9,9779.1,64605.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2671,0,30581.9,0,0,0,20:1,327.3133,9779.1,34023.7,0,0,0,
DAGPosMS1MS2,-0.43ppm,H78 C39 O5 N1 ,DAG,36,1,None, DAG 36:1,DAG 18:1-18:0,640.5872,146317.9,1053416.2,86004.4,1978889.3,164439.9,34681.5,293781.7,5228.7,116691,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2833,-1.6,139709.5,2387.6,54135.1,0,18:0,301.2963,34683.1,154072.2,2841,62555.9,0,
DAGPosMS1MS2,0.97ppm,H80 C39 O5 N1 ,DAG,36,0,None, DAG 36:0,DAG 18:0-18:0,642.6037,43338.7,24492.1,34697.5,909.1,37162.6,16732.7,23303.2,9696.8,21827.8,19497,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2989,16732.7,23303.2,9696.8,21827.8,19497,18:0,301.2989,16732.7,23303.2,9696.8,21827.8,19497,
DAGPosMS1MS2,-1.31ppm,H72 C41 O5 N1 ,DAG,38,6,None, DAG 38:6,DAG 22:6-16:0,658.5396,1761,233649.1,0,17698.9,0,7144.5,70046.1,2809,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 22:6,345.2655,7144.5,64816.6,2809,0,0,16:0,273.2662,0,5229.5,0,0,0,
DAGPosMS1MS2,0.40ppm,H74 C41 O5 N1 ,DAG,38,5,None, DAG 38:5,DAG 22:5-16:0,660.5564,8149.2,416090.2,580.8,114873.1,1425.6,6753.4,4357.2,0,15346.3,3867.6,None, None, None, None, None, None, None, None, None, None, None, None, 22:5,347.282,6753.4,4357.2,0,10581.6,3867.6,16:0,273.2657,0,0,0,4764.6,0,
DAGPosMS1MS2,0.40ppm,H74 C41 O5 N1 ,DAG,38,5,None, DAG 38:5,DAG 20:4-18:1,660.5564,8149.2,416090.2,580.8,114873.1,1425.6,5381.9,125242.1,0,7364.8,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:4,321.2666,5381.9,106052.5,0,7364.8,0,18:1,299.2826,0,19189.5,0,0,0,
DAGPosMS1MS2,1.25ppm,H76 C41 O5 N1 ,DAG,38,4,None, DAG 38:4,DAG 18:1-20:3,662.5726,80762.9,2927337.9,6657,116556.6,5220,0,7453.2,0,12740.7,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2825,0,0,0,4075.8,0,20:3,323.2819,0,7453.2,0,8664.9,0,
DAGPosMS1MS2,1.25ppm,H76 C41 O5 N1 ,DAG,38,4,None, DAG 38:4,DAG 18:0-20:4,662.5726,80762.9,2927337.9,6657,116556.6,5220,26349.3,916186.2,7011.6,45199.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2988,0,129191.1,0,4539.8,0,20:4,321.2677,26349.3,786995,7011.6,40659.5,0,
DAGPosMS1MS2,1.25ppm,H76 C41 O5 N1 ,DAG,38,4,None, DAG 38:4,DAG 16:0-22:4,662.5726,80762.9,2927337.9,6657,116556.6,5220,0,21809.4,0,4029.7,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2689,0,6881.5,0,0,0,22:4,349.2995,0,14927.9,0,4029.7,0,
DAGPosMS1MS2,0.64ppm,H78 C41 O5 N1 ,DAG,38,3,None, DAG 38:3,DAG 20:3-18:0,664.5879,24954.9,3738.5,0,127151.4,0,0,52888.2,0,66069.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:3,323.2833,0,51515.6,0,40927.8,0,18:0,301.2993,0,1372.7,0,25141.3,0,
DAGPosMS1MS2,0.17ppm,H80 C41 O5 N1 ,DAG,38,2,None, DAG 38:2,DAG 20:1-18:1,666.6032,30287.2,167030.9,636.3,169465.3,0,27130.9,59475.2,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:1,327.3131,17764,28184,0,0,0,18:1,299.2817,9366.9,31291.2,0,0,0,
DAGPosMS1MS2,-0.52ppm,H82 C41 O5 N1 ,DAG,38,1,None, DAG 38:1,DAG 18:0-20:1,668.6184,212799.6,457877.1,116699.8,2878724.8,378668.1,0,56093.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2977,0,28615.8,0,0,0,20:1,327.3135,0,27477.8,0,0,0,
DAGPosMS1MS2,-0.81ppm,H76 C43 O5 N1 ,DAG,40,6,None, DAG 40:6,DAG 22:6-18:0,686.5712,0,241739.5,0,9120.3,0,0,80691.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 22:6,345.2662,0,73155.7,0,0,0,18:0,301.2985,0,7535.9,0,0,0,
DAGPosMS1MS2,-0.63ppm,H78 C43 O5 N1 ,DAG,40,5,None, DAG 40:5,DAG 18:1-22:4,688.587,0,17564.9,0,39898.8,0,0,6773.7,3365.7,17114.6,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2825,0,3614.1,0,0,0,22:4,349.2966,0,3159.5,3365.7,17114.6,0,
DAGPosMS1MS2,-0.63ppm,H78 C43 O5 N1 ,DAG,40,5,None, DAG 40:5,DAG 18:0-22:5,688.587,0,17564.9,0,39898.8,0,0,8632.1,0,19564.6,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2966,0,0,0,8783.2,0,22:5,347.2831,0,8632.1,0,10781.4,0,
DAGPosMS1MS2,-1.62ppm,H80 C43 O5 N1 ,DAG,40,4,None, DAG 40:4,DAG 22:4-18:0,690.602,1891.6,205007.8,0,0,0,0,52478.1,0,5462.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 22:4,349.2974,0,35331.5,0,5462.1,0,18:0,301.2962,0,17146.6,0,0,0,
DAGPosMS1MS2,-0.56ppm,H84 C43 O5 N1 ,DAG,40,2,None, DAG 40:2,DAG 20:1-20:1,694.634,0,19388.4,0,102614.6,0,0,4979.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:1,327.3125,0,4979.4,0,0,0,20:1,327.3125,0,4979.4,0,0,0,
DAGPosMS1MS2,-0.56ppm,H84 C43 O5 N1 ,DAG,40,2,None, DAG 40:2,DAG 18:1-22:1,694.634,0,19388.4,0,102614.6,0,0,12615.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2815,0,5049.2,0,0,0,22:1,355.3439,0,7566.6,0,0,0,
DAGPosMS1MS2,-0.98ppm,H86 C43 O5 N1 ,DAG,40,1,None, DAG 40:1,DAG 18:1-22:0,696.6494,177915.9,325277.9,99573.9,1564112.4,340041.2,0,9069.9,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2815,0,4475.8,0,0,0,22:0,357.3601,0,4594.1,0,0,0,
DAGPosMS1MS2,-1.78ppm,H88 C45 O5 N1 ,DAG,42,2,None, DAG 42:2,DAG 18:1-24:1,722.6644,0,3057.1,0,0,0,0,9436.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.281,0,4901.1,0,0,0,24:1,383.3758,0,4535.1,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
