mol%, MBA 453 cells, MBA 453 cells, MDA 231 cells, MDA 231 cells, MDA 468 cells, MDA 468 cells, MBA 436 cells, MBA 436 cells, HCC70  cells, HCC70  cells,HCC38 CM,HCC38 CM, MBA 453 CM, MBA 453 CM, MDA 231 CM, MDA 231 CM, MDA 468 CM, MDA 468 CM, MBA 436 CM, MBA 436 CM, HCC70  CM, HCC70  CM
LPC 18:1,0.263515144,0.287313611,0.235389647,0.235191338,0.380481099,0.438499424,0.143516715,0.147479659,0.098992389,0.114727182,0,0,0.066154053,0.041999321,0,0,0.036293763,0.335499826,0.320463573,0.435738212,0.011028734,0.132530838
LPC 18:0,0.042978394,0.051001343,0.232650671,0.222313691,0.001193895,0.001341535,0.037668146,0.039289206,0.013905747,0.018172436,0.001229999,0.001606176,0,0,0.030628126,0.0024985,0,0,0,0,0.002001576,0.005507607
LPC 20:4,0,0,0,0,0.00409806,0.004619579,0.016914199,0.016619178,0.015066545,0.026939343,0.433611459,0.281517786,0,0,0,0,0,0.013279106,0.185978086,0.164127291,0,0.058397614
LPC 20:3,0,0,0,0,0,0.001015841,0.00422078,0.003496006,0.009701605,0.018803132,0,0,0,0,0,0,0,0,0,0,0,0.017874947
LPC 20:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003488104,0,0,0,0
LPC 22:6,0,0,0,0,0,0,0.011301637,0.013208263,0.015138255,0.031599338,0,0,0,0,0,0,0,0,0,0,0,0
LPC 22:5,0,0,0,0,0,0,0.005439489,0.005564131,0.00485745,0.007706397,0.176365996,0,0,0,0,0,0,0,0,0,0,0.012580231
LPC 22:4,0,0,0,0,0,0,0,0,0,0,0.076247332,0.022348106,0,0,0,0,0,0,0,0,0,0
LPE O-16:1,0.170664777,0.1708504,0.120083662,0.114678788,0.209683742,0.211847556,0.090179478,0.086729777,0.060427918,0.04288575,0.041148418,0.060686618,0.478605174,0.71445805,0,0,0.050021876,0.139153988,0.246563709,0.263983782,0.049347988,0.098141138
LPE O-16:0,0.017465367,0.021606448,0,0,0,0,0,0,0,0,0,0,0,0.005843703,0,0,0,0,0,0.004570976,0,0
LPE O-18:2,0.058990308,0.059595023,0,0,0.06946674,0.06799532,0.028236135,0.027012771,0.028694569,0.018115326,0,0.001532262,0,0,0,0,0,0.022333023,0,0,0.012957523,0.041481365
LPE O-18:1,0.026073364,0.026160512,0.192463456,0.184188473,0.006656919,0.007625874,0.059142694,0.055264593,0.030626829,0.024346533,0,0,0,0,0,0,0,0,0,0,0.026021411,0.042896343
LPE O-18:0,0,0.001529852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-22:6,0,0.001251842,0.005748059,0.006523152,0,0.002373866,0,0,0,0,0.039604271,0.046281022,0.02969472,0.027448889,0.189670133,0.043037154,0,0,0.026508466,0.034677943,0,0
LPE O-22:5,0,0,0,0,0,0,0,0,0,0,0.002303097,0,0,0,0,0,0,0,0.001519545,0.002970982,0,0
LPE 14:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 18:0,0.267317127,0.260952497,0.292501892,0.283665523,0.107451106,0.10981026,0.138480739,0.131008944,0.07693781,0.062079236,0,0,0,0,0,0,0.037970283,0.061576032,0,0,0.050583115,0.100262115
LPE 20:4,0.447966278,0.458654336,1.04470397,1.065029484,0.495612453,0.530035225,0.346096389,0.345441589,0.575632548,1.686579397,3.872994186,3.764094053,3.301661772,3.433478459,6.719914337,1.492899922,0.126519859,1.732313919,6.108010706,6.533639502,0.1747873,2.164148836
LPE 22:6,0.144773171,0.14657244,0.373126549,0.381155835,0.241972743,0.267356714,0.141340674,0.140545033,0.219074851,0.530070679,1.140037192,1.081966922,1.210349299,1.200861354,2.508686138,0.577240967,0.101387108,0.943466589,2.365841543,2.522938304,0.077331769,0.760718175
LPE 22:5,0.135438445,0.133069513,0.238354037,0.241728264,0.195569938,0.213374532,0.04296197,0.042234068,0.128177319,0.313444493,1.399724112,1.334096264,1.45727089,1.425836064,1.814206611,0.350238706,0.0800623,0.799677516,0.918735878,0.973292248,0.051229691,0.523512294
LPE 22:4,0.010383549,0.013425613,0.073882968,0.070262309,0.037067284,0.040060148,0.026186661,0.025788497,0.008842401,0.023863958,1.221230559,1.15227782,0.026089902,0.017090669,0.592990259,0.040972289,0,0.108669579,0.562033095,0.651985658,0,0.041850606
LPG 14:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275450017,0.122980439,0,0,0,0,0,0
LPG 16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG 22:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 28:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 32:0,0.003110818,0,0,0,0,0,0.024715865,0.024472294,0.029550945,0.039890035,0,0,0,0,0,0,0.069246433,0.014086902,0,0,0.195395623,0.137056725
PG 34:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200168353,0
PG 34:0,0.067726343,0.035503521,0.027362157,0.026312059,0.038193326,0.040421563,0.065777133,0.065742023,0.153461885,0.213885562,0.103355034,0.058077512,0.246271173,0.101011569,0.279356903,0.003169646,0.79584917,0.563046904,0.108521854,0.133472752,1.345815155,0.957922354
PG 36:5,0,0,0,0,0,0,0,0,0,0,0,0,0.002388183,0,0,0,0,0,0,0,0,0
PG 36:4,0.003769617,0.001514333,0,0,0,0,0.005002348,0.004900237,0.002601714,0.001279241,0,0,0,0,0,0,0,0,0,0,0.001438997,0
PG 36:3,0.010234975,0.009175591,0,0,0.005480085,0.006367732,0.016213173,0.016830063,0.006510417,0.005556132,0,0,0,0,0,0,0.003042324,0,0,0,0.03839027,0.010039182
PG 36:2,0.010687377,0,0,0,0,0,0.08450092,0.086375366,0.043627139,0.061037473,0,0,0,0,0,0,0.257854693,0.170891577,0,0,0.397634471,0.281133278
PG 36:1,0,0,0,0,0,0,0.061858892,0.062218992,0.061588433,0.090398936,0,0,0,0,0,0,0.150851259,0.053842333,0,0,0.696786168,0.465485838
PG 38:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 38:7,0,0,0,0,0,0,0.010168205,0.0106942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 38:6,0,0,0,0,0,0,0.02716262,0.028390516,0.002661321,0.001115414,0,0,0,0,0,0,0,0,0,0,0,0
PG 38:5,0,0,0,0,0,0,0.006907568,0.007805043,0.003115764,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 38:4,0.029809711,0.025113308,0,0,0,0,0.011414561,0.011133167,0.002400202,0.001184113,0,0,0,0,0,0,0,0,0,0,0,0
PG 38:3,0,0,0,0,0,0,0.008684436,0.008989301,0.001785396,0.002748029,0,0,0,0,0,0,0,0,0,0,0.008391615,0.001328676
PG 40:7,0.011683726,0.013293812,0.049925968,0.047240347,0.019383709,0,0.17230581,0.188838843,0.013742308,0.014367463,0,0,0,0,0,0,0,0,0,0,0.002736477,0.003312187
PG 40:6,0.006580071,0.008442428,0,0,0,0,0.034789167,0.035657443,0.003727809,0.001033859,0,0,0,0,0,0,0,0,0,0,0,0
PG 40:4,0,0,0,0,0,0,0.001114757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 40:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 40:2,0,0,0,0,0,0,0,0,0,0.004753122,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:8,0,0,0,0,0,0,0.012602375,0.013606988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:7,0,0,0,0,0,0,0.007516638,0.008754564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 44:10,0,0,0,0,0,0,0.004157846,0.00429672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chol :,18.32604447,19.3959613,26.15939257,25.93416327,22.73776683,22.93614008,22.94738722,24.0739009,24.58232607,27.18640648,32.40832883,30.72389327,36.89358086,34.64981501,34.99893136,59.64385086,31.36945428,38.54606645,29.65643307,27.88579168,37.06143045,36.56068252
Cer 32:2;2,0,0,0,0,0,0,0,0,0,0,0,0.002853109,0,0,0,0.08023936,0,0,0,0,0,0
Cer 32:1;2,0.006291285,0.005936875,0.027924095,0.024473593,0,0.008536463,0.003024863,0.002838472,0.006180644,0.00607348,0.008550561,0.036860418,0.010428998,0.020121343,0.049134181,0.152268251,0.039758938,0.044810283,0.015941915,0.018348761,0.016755238,0.015873553
Cer 34:2;2,0.002104361,0.002206356,0.018070231,0.022148368,0,0.005489901,0.005089616,0.005139037,0.002472452,0.002300573,0,0.02459324,0,0,0,0.179637743,0.03376172,0.037774494,0.001816009,0,0.007899304,0.007354249
Cer 34:1;2,0.070593676,0.071287515,0.166111402,0.170139786,0.043542928,0.058944204,0.056008129,0.053351589,0.059044926,0.062148946,0.069681876,0.106762762,0.305216276,0.310351953,0.198608306,0.26509923,0.577271761,0.724447736,0.165218069,0.166818128,0.222388197,0.210240729
Cer 34:0;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282087959,0,0,0,0,0,0
Cer 36:2;2,0,0,0.006481345,0.007109001,0,0,0.004298857,0.004244701,0,0,0,0,0,0,0,0.131000655,0.001535594,0.009110628,0.011206611,0.013924026,0.001876349,0.001760508
Cer 36:1;2,0,0,0.002509292,0.006719313,0,0,0.010895794,0.010346299,0.003398961,0.003090453,0,0.043760118,0,0,0,0.279633553,0.025824979,0.025227824,0.003618366,0.004318816,0.006992476,0.006139764
Cer 38:1;2,0,0,0,0,0,0,0.001447809,0.001531841,0.00219692,0.001990105,0,0.034707777,0,0,0,0.281007186,0.010089857,0.01334215,0,0,0.002822165,0.002473141
Cer 40:2;2,0.010153025,0.009623937,0.073177883,0.067607799,0.007828243,0.018233291,0.006558928,0.006847715,0.005337353,0.003855377,0.038987881,0,0.196727181,0.220691363,0.107471363,0.150879277,0.05809219,0.069947877,0.132760923,0.134406837,0.012151822,0.011468026
Cer 40:1;2,0.00911721,0.007892236,0.098169681,0.096252386,0,0.001032164,0.022748164,0.022074407,0.015959801,0.016701719,0.018674561,0.075246681,0.074226124,0.096433021,0.09494586,0.423349687,0.022164692,0.034637742,0.084535739,0.084853098,0.051550693,0.049883997
Cer 42:2;2,0.058156962,0.0574545,0.209283245,0.198630737,0.074895969,0.103546322,0.088212595,0.086001719,0.130310416,0.132847169,0.106050141,0.124686627,0.302504234,0.333094425,0.260952372,0.331248895,0.395014375,0.473718584,0.290702848,0.287295302,0.283537409,0.267256932
Cer 42:1;2,0.059265808,0.045896835,0.496928119,0.437401822,0,0,0.107529788,0.106239803,0.110543221,0.112500981,0.064708873,0.089673998,1.146332939,1.385957428,0,0.430571086,0.043408749,0.078003475,0.58293849,0.486230651,0.236094951,0.223208498
Cer 44:2;2,0,0,0,0,0,0,0,0,0.018951648,0.017516983,0,0,0,0,0,0,0,0,0,0,0,0
Cer 44:1;2,0,0,0,0,0,0,0.001853894,0.001602855,0.008875723,0.007520542,0,0.005738415,0,0,0,0.41534733,0,0,0,0,0.011674084,0.010582683
CE 14:0,0,0,0,0,0,0,0.039795355,0.037980438,0,0,0,0.22018966,0,0,0,1.428407966,0,0,0,0,0,0
CE 16:1,0,0,0,0,0.426567029,0,0.051129396,0.04956709,0.004615061,0.005167291,0,0.795079607,0,0,0,2.983959747,0.323673849,0,0,0,0,0
CE 16:0,0,0,0,0,0,0,0.28898978,0.273080179,0.003999835,0.005143556,0,0.555257864,0,0,0,3.826021195,0.022842562,0.036516093,0.062491179,0.045226001,0.032064868,0.033432814
CE 18:2,0,0,0,0,0,0,0.053318255,0.050895456,0.006706536,0.006349772,0.063676361,0.282492742,0,0,0.119909606,2.085655778,0.039068604,0.045115477,0.068020186,0.07450811,0.021472501,0.020844961
CE 18:1,0,0,0.0027736,0.033438425,0,0,0.60299906,0.5942919,0.028471706,0.026394207,0.123439538,0.988228605,0,0,0,7.446886437,0.112595868,0.129732629,0.593731607,0.598221713,0.07299773,0.07343957
CE 18:0,0,0,0.234972282,0.280668649,0,0,0.163313235,0.158060029,0,0,0,0.380781577,0,0,0,2.059562543,0,0,0,0,0,0
CE 20:5,0,0,0,0,0,0,0.003291414,0.003550202,0,0,0.020867742,0.006126382,0,0,0,0.580750396,0,0,0,0,0.005265138,0.005251037
CE 20:4,0,0,0.001257972,0.003826055,0,0,0.030137409,0.028062533,0.007708588,0.007914572,0.33812704,0.364994737,0.004395944,0.011080163,0.16422195,0.616962503,0.008004027,0.044180159,0.079737756,0.080766415,0.034058253,0.033459806
CE 20:3,0,0,0.02061866,0.025743267,0,0,0.033292745,0.036172685,0.025257668,0.024926633,0.01728972,0.029414214,0,0,0,0,0,0,0,0.001225281,0.045289226,0.045142901
CE 22:6,0,0,0.077717651,0.083707699,0,0,0.172273358,0.177403584,0.030932902,0.029007613,0.184606626,0,0,0,0.051459736,0,0.002899601,0.003914017,0.228606534,0.225149064,0.059428909,0.06047429
CE 22:5,0,0,0,0,0,0,0.014624731,0.01623088,0.00268612,0.001813442,0.254591576,0.284576849,0,0,0,0.218639135,0,0,0,0,0.018812813,0.019651978
CE 22:4,0,0,0,0,0,0,0.012303694,0.013123312,0,0,0.292199403,0.337652631,0,0,0,0.795586086,0,0,0.004717943,0.00818897,0.00366311,0.003870368
DAG 28:1,0.005561027,0.005911053,0,0,0,0.006999439,0,0,0.003452692,0,0,0,0,0,0,0,0.002745081,0.00297809,0,0,0,0
DAG 28:0,0.012147088,0.01287516,0,0,0.016392397,0.022855899,0.002917446,0.002653686,0.006497009,0.006545985,0,0,0,0,0,0,0.014350892,0.006588057,0,0,0,0
DAG 30:2,0.003160273,0.003797304,0,0,0,0.004058782,0,0,0.004594574,0.003633183,0,0,0,0,0,0,0,0.002173894,0,0,0,0
DAG 30:1,0.032837603,0.033107146,0,0,0.037691331,0.041674027,0.006174028,0.006315638,0.016332622,0.016357653,0,0.016347749,0,0,0,0,0.021421396,0.019915304,0,0,0,0
DAG 30:0,0.050517857,0.052941056,0,0,0.085667763,0.098199834,0.026466558,0.02433496,0.04067529,0.042669306,0,0.008290635,0,0,0,0,0.052118193,0.047068443,0,0,0.001315087,0
DAG 32:3,0,0,0,0,0,0,0,0,0.001115711,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 32:2,0.024601515,0.024506241,0,0,0.019717452,0.030477487,0.005525016,0.005768718,0.017594359,0.017619414,0,0.024668585,0,0,0,0.021457057,0.012660272,0.019181724,0,0,0.001852011,0.001727244
DAG 32:1,0.157613286,0.161612772,0.03887074,0.041147083,0.182172964,0.220489842,0.067907936,0.066068234,0.093929563,0.094539546,0,0.045488738,0,0,0,0.004827767,0.126555664,0.143434617,0,0,0.018254893,0.017932379
DAG 32:0,0.068382843,0.07247377,0.016193494,0.029716768,0.058431021,0.076354086,0.097858756,0.093471188,0.077143507,0.077048763,0,0.019390486,0,0,0,0,0.046821262,0.034618457,0,0,0.009570826,0.007620805
DAG 34:3,0.004993508,0.00416461,0,0,0.004885662,0.009313596,0.004102387,0.004050099,0.01338876,0.013042921,0,0,0,0,0,0,0.005671431,0.007570604,0,0,0.00478978,0.004896355
DAG 34:2,0.12423624,0.126983589,0.041771392,0.042211416,0.166502444,0.197128707,0.054610552,0.052926964,0.071277689,0.071562785,0,0.051907331,0,0,0,0,0.122581662,0.138825,0,0,0.023490873,0.023165487
DAG 34:1,0.349486837,0.35861847,0.256499962,0.261558072,0.414100332,0.501848809,0.300930565,0.2889137,0.204869196,0.205050444,0,0.060425776,0.125875773,0.116971136,0,0.036016064,0.357955932,0.405439162,0.10827725,0.121424972,0.066303453,0.063087322
DAG 34:0,0,0,0.097771908,0.108308176,0,0,0.056178416,0.052523526,0,0,0,0.003991595,0,0,0,0,0,0,0,0,0,0
DAG 36:5,0,0,0,0,0,0,0.001433253,0.001159773,0.00451318,0.004468291,0,0,0,0,0,0,0,0,0,0,0.001747816,0.001548383
DAG 36:4,0.007295003,0.006398258,0,0,0,0.008356868,0.010052609,0.011386126,0.027502235,0.025694014,0,0.035901908,0,0,0,0,0.01914789,0.020860552,0,0,0.015085627,0.014723695
DAG 36:3,0.014716089,0.014449769,0.02264681,0.02676114,0.021321377,0.030057067,0.019940875,0.0189245,0.046774551,0.046329637,0,0.041063229,0,0,0,0,0.036638363,0.039865659,0.001095812,0.002753032,0.022796677,0.021988445
DAG 36:2,0.153776696,0.157279619,0.131322277,0.129302552,0.22825176,0.283242981,0.126466846,0.122776413,0.081910247,0.07890673,0,0.050365618,0.067063637,0.067611329,0,0.0488772,0.215674305,0.243477856,0.080746531,0.081724611,0.035132914,0.03298455
DAG 36:1,0.112222462,0.115316511,0.211827549,0.202841052,0.051271392,0.064436433,0.122767656,0.116675493,0.028342046,0.028070127,0,0.008151082,0.3547776,0.339172448,0,0.032842151,0.143477039,0.101447629,0.04842061,0.057011605,0.020390243,0.019243049
DAG 36:0,0,0,0,0,0,0,0,0,0.002886193,0.004078944,0,0,0,0,0,0,0,0,0,0,0,0
DAG 38:6,0.001706852,0,0,0,0,0.002572462,0.010732171,0.011155013,0.015727457,0.014145095,0,0,0,0,0,0,0.004313047,0.008147454,0,0,0.005920773,0.00572814
DAG 38:5,0.010308103,0.012290877,0.026982635,0.024703437,0,0.01942068,0.02068104,0.024330403,0.033047791,0.02765268,0,0,0,0,0,0,0.025467011,0.027398879,0,0,0.021902806,0.018327462
DAG 38:4,0.016924363,0.017376645,0.044574084,0.044253791,0.019967119,0.024717859,0.030585336,0.030461961,0.044858946,0.044321968,0,0,0,0,0,0.106580215,0.039838619,0.04008188,0.084292807,0.088906259,0.026968655,0.026317846
DAG 38:3,0.011220044,0.010736747,0.035595931,0.032331348,0,0.010800385,0.019395654,0.01941555,0.045677308,0.043679356,0,0,0,0.029824657,0.044374842,0,0.023073154,0.027087141,0.039396595,0.039644794,0.021009164,0.019302502
DAG 38:2,0.028263974,0.028401906,0.047840619,0.045433737,0.030806763,0.043705613,0.019207189,0.018855798,0.004163532,0.004155534,0,0,0.083672434,0.09862628,0,0,0.044246371,0.040566144,0.041570392,0.044459776,0.005905778,0.006297164
DAG 38:1,0.060650834,0.061792397,0.309108088,0.337384041,0.107827516,0.06060336,0.01620779,0.016213664,0,0,0,0,1.427609801,1.320360932,0,0,0.169527163,0.036003268,0,0,0,0
DAG 40:7,0,0,0,0,0,0.006283667,0.002242399,0.002654556,0.002457099,0.005854689,0,0,0,0,0,0,0.015639621,0.00176092,0,0,0.003368353,0.01007411
DAG 40:6,0,0.004481456,0,0,0,0,0.012457515,0.011884067,0.015191288,0.013337779,0,0,0,0,0,0,0.009380396,0.013495245,0,0,0.007633299,0.006910453
DAG 40:5,0.003332753,0,0.010594524,0,0,0,0.00827416,0.009633721,0.010209767,0.009710789,0,0,0,0,0,0,0.021366982,0.009426029,0,0.015192221,0.007900417,0.006127141
DAG 40:3,0,0,0,0,0,0,0.001313184,0.001153447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 40:2,0.007443619,0,0,0,0,0.005767076,0.004192388,0.004036578,0,0,0,0,0,0,0,0,0.009826245,0.005771869,0,0,0,0
DAG 40:1,0.040180587,0.039250713,0.215493914,0.256998833,0,0.041341331,0.013588564,0.012784199,0.007285371,0,0,0,0,0,0,0,0.105580243,0.026324905,0,0,0,0
DAG 42:2,0,0,0,0,0,0.001678764,0.002188335,0.001909814,0,0,0,0,0,0,0,0,0,0.001633185,0,0,0,0
DAG 42:1,0,0,0,0,0,0,0.003696162,0.003174748,0.00108882,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 44:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 32:2;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11637067,0,0,0,0,0,0
HexCer 32:1;2,0,0.001507459,0.00668662,0.00746282,0,0,0,0,0,0,0.0101544,0.024350193,0.009726633,0,0.024481321,0,0.008891721,0,0,0,0,0
HexCer 32:0;2,0,0.002400216,0,0.00103193,0,0,0,0,0,0,0,0,0,0,0,0,0.019831249,0,0.001577549,0,0,0
HexCer 34:1;2,0.021647223,0.022281485,0.102639976,0.107801271,0.010096823,0.02714435,0.036462867,0.033482335,0.018105456,0.019305281,0.145010935,0.178851933,0.02354416,0.019353037,0.323333228,0.052279883,0.036592527,0.029466705,0.081697708,0.086084772,0.017824598,0.018617253
HexCer 34:0;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004336955,0,0,0,0,0
HexCer 36:2;2,0,0,0,0,0,0.001168626,0,0.001903463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 36:1;2,0,0,0,0,0,0.005338913,0.003141354,0.003349913,0,0,0,0,0,0,0,0,0.034115501,0,0,0,0,0
HexCer 40:1;2,0,0,0.09066903,0.087333906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 42:2;2,0.004627922,0.007089868,0.115251837,0.112611965,0.017798746,0.046433872,0.063365398,0.059324262,0.059641764,0.05987601,0.097611691,0.081787363,0.003733935,0,0.174014706,0.012139249,0.024190435,0.047300596,0.103852769,0.095792966,0.05938448,0.054656502
HexCer 42:1;2,0.01193246,0.009251686,0.448340817,0.444277061,0,0,0.09030782,0.089541243,0.050619389,0.049133524,0.069727172,0.040560493,0.005853971,0.017788287,0.785779869,0.132092353,0,0,0.153149729,0.160170408,0.050741483,0.052717051
PC O-28:0,0,0,0.001087347,0,0.014974899,0.009392694,0.00957569,0.009301391,0.002749284,0.003265403,0.010555349,0.006432008,0,0,0,0,0.013739533,0.008429722,0,0,0.002947072,0.002659593
PC O-30:2,0.016735753,0.017718831,0,0,0,0,0.005095801,0.005553271,0.00193347,0.003720268,0,0,0,0,0,0,0,0.018840719,0,0,0.001269124,0.001003362
PC O-30:1,0.013615522,0.013422667,0.033682525,0.034183038,0.077027487,0.101502315,0.037956659,0.037616579,0.016149806,0.016936191,0.046943738,0.041119056,0.002377434,0,0.01057255,0.004830387,0.071945166,0,0.027428013,0.029440139,0,0
PC O-30:0,0.030529774,0.031975477,0.038904176,0.039919489,0.268135648,0.27777901,0.044537116,0.044091282,0.016100224,0.017412989,0.024299533,0.020084108,0.003283056,0.00336297,0.015501375,0,0.175855998,0,0.032802963,0.033417548,0,0
PC O-32:3,0.010641509,0.01008582,0.001797323,0.001919595,0.073247209,0.020423263,0.010372722,0.010122874,0.007761855,0.008197191,0.002959579,0.001095974,0,0,0,0,0.048391067,0.020670791,0,0,0.009721483,0.009632913
PC O-32:2,0.043710275,0.040353616,0.081662452,0.081017797,0.110786164,0.153709113,0.075746665,0.073862937,0.029288198,0.030799874,0.097377656,0.088007333,0.009280887,0.004253147,0.033047051,0,0.11029308,0,0.052946818,0.055307266,0,0
PC O-32:1,0.172720143,0.171643254,0.262458003,0.259732921,0.690474345,0.737990821,0.264265189,0.259734462,0.086988061,0.094494109,0.30882468,0.286291699,0.065354003,0.069133428,0.160573429,0.029315836,0.485295448,0,0.194706657,0.192830831,0,0
PC O-32:0,0.061197089,0.061575157,0.166398979,0.168278082,0.498027922,0.522219871,0.165565135,0.160160221,0.066427136,0.075042698,0.127128684,0.109568818,0.045789581,0.040579632,0.14067586,0.040382197,0.40919367,0,0.125603612,0.126951242,0,0
PC O-34:3,0.018067071,0.017734872,0.039861119,0.037720298,0.188207403,0.116590496,0.050084961,0.048534064,0.030861456,0.031415467,0.088473314,0.086773529,0.013605572,0.018567046,0.014978006,0.029831761,0.166478377,0.107579142,0.036502492,0.042719892,0.044486051,0.041734177
PC O-34:2,0.069658102,0.057508672,0.241872493,0.2344926,0.562488627,0.702750203,0.261562556,0.262477141,0.077761798,0.083355221,0.253166215,0.236995917,0.067686101,0.050008544,0.143197759,0.007981086,0.49663826,0,0.203093912,0.2065885,0,0
PC O-34:1,0.31109808,0.319366113,0.497423857,0.485892991,1.690981273,1.794398504,0.473032377,0.469093256,0.123174991,0.1328961,0.33858706,0.318603155,0.150539327,0.149765788,0.31824258,0.090030689,1.141987376,1.211261617,0.314351636,0.321716998,0.154008419,0.145259767
PC O-34:0,0,0,0.257382148,0.257103739,0,0,0.07261588,0.071002531,0.021831978,0.024406031,0.045862113,0.039816582,0,0,0.252863921,0.069546445,0,0,0.059794173,0.064210222,0,0
PC O-36:5,0.010400128,0.008557217,0.057325478,0.056288387,0.155697147,0.058253041,0.113739917,0.113635026,0.061601253,0.063736573,0.236163871,0.227856766,0.061711442,0.144375233,0.05819534,0.004938069,0.173637387,0,0.153430672,0.152236269,0,0
PC O-36:4,0.039514994,0.039948971,0.107660567,0.102249282,0.508446949,0.189668519,0.169355236,0.16719268,0.08658087,0.090229623,0.139102509,0.140156199,0.001789701,0.007399819,0.094926546,0.009510348,0.377590548,0.188851985,0.138426389,0.145290555,0.108799338,0.102716168
